chain_rank,source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status
119,Mark,Mark 11:18,440,Luke,Luke 19:47,884,11,10,0.203,0.1667,0.1667,0.2105,0.1176,0.1501,3,0.3,3,αρχιερεισ γραμματεισ εζητουν,3,αρχιερεισ γραμματεισ εζητουν,main_text
120,Mark,Mark 11:28,449,Luke,Luke 20:2,887,12,12,0.4429,0.4375,0.4,0.4545,0.3,0.4684,7,0.5833,5,ποια εξουσια ταυτα ποιεισ τισ,7,εξουσια εξουσιαν ποια ποιεισ ταυτα ταυτην τισ,main_text
121,Mark,Mark 11:30,451,Luke,Luke 20:4,889,5,4,0.8589,0.8,0.8,0.8571,0.8,0.7489,4,1.0,4,βαπτισμα ιωαννου ουρανου ανθρωπων,4,ανθρωπων βαπτισμα ιωαννου ουρανου,main_text
122,Mark,Mark 11:31,452,Luke,Luke 20:5,890,10,9,0.7769,0.8,0.8,0.8235,0.6667,0.7327,8,0.8889,5,ειπωμεν ουρανου ερει επιστευσατε αυτω,8,αυτω εαυτουσ ειπωμεν επιστευσατε ερει λεγοντεσ ουρανου προσ,main_text
123,Mark,Mark 11:33,454,Luke,Luke 20:8,893,12,8,0.7875,0.6667,0.7273,0.7778,0.75,0.6246,8,1.0,8,ιησουσ αυτοισ ουδε λεγω ποια εξουσια ταυτα ποιω,8,αυτοισ εξουσια ιησουσ λεγω ουδε ποια ποιω ταυτα,main_text
124,Mark,Mark 12:1,455,Luke,Luke 20:9,894,16,14,0.282,0.3043,0.3636,0.2143,0.0769,0.3028,6,0.4286,3,εξεδετο γεωργοισ απεδημησεν,7,αμπελωνα ανθρωποσ απεδημησεν γεωργοισ εξεδετο εφυτευσεν ηρξατο,main_text
125,Mark,Mark 12:2,456,Luke,Luke 20:10,895,10,14,0.4051,0.4118,0.5333,0.2727,0.2,0.3528,6,0.6,4,απεστειλεν προσ τουσ γεωργουσ,7,αμπελωνοσ απεστειλεν γεωργουσ δουλον καιρω προσ τουσ,main_text
126,Mark,Mark 12:6,460,Luke,Luke 20:13,898,11,9,0.1801,0.1875,0.1875,0.1111,0.0,0.213,3,0.3333,2,υιον αγαπητον,3,αγαπητον εντραπησονται υιον,main_text
127,Mark,Mark 12:7,461,Luke,Luke 20:14,899,12,12,0.3444,0.4118,0.4118,0.1818,0.1,0.4165,7,0.5833,3,ουτοσ εστιν κληρονομοσ,7,αποκτεινωμεν γεωργοι εστιν κληρονομια κληρονομοσ ουτοσ προσ,main_text
128,Mark,Mark 12:8,462,Luke,Luke 20:15,900,5,8,0.2867,0.3333,0.3333,0.1818,0.0,0.3391,2,0.4,2,εξω αμπελωνοσ,3,αμπελωνοσ απεκτειναν εξω,main_text
129,Mark,Mark 12:9,463,Luke,Luke 20:16,901,10,11,0.5114,0.5,0.5,0.5263,0.3529,0.517,7,0.7,4,ελευσεται απολεσει τουσ γεωργουσ,7,αλλοισ αμπελωνα απολεσει γεωργουσ δωσει ελευσεται τουσ,main_text
130,Mark,Mark 12:10,464,Luke,Luke 20:17,902,12,13,0.5587,0.4706,0.4706,0.6087,0.5714,0.4993,8,0.6667,8,λιθον απεδοκιμασαν οικοδομουντεσ ουτοσ εγενηθη εισ κεφαλην γωνιασ,8,απεδοκιμασαν γωνιασ εγενηθη εισ κεφαλην λιθον οικοδομουντεσ ουτοσ,main_text
131,Mark,Mark 12:12,466,Luke,Luke 20:19,904,10,15,0.2973,0.25,0.25,0.2609,0.1905,0.2208,5,0.5,4,εγνωσαν προσ αυτουσ παραβολην,5,αυτουσ εγνωσαν εφοβηθησαν παραβολην προσ,main_text
132,Mark,Mark 12:14,468,Luke,Luke 20:21,906,23,14,0.3295,0.2963,0.2963,0.2857,0.1818,0.2848,8,0.5714,5,αλλ επ αληθειασ οδον διδασκεισ,8,αληθειασ αλλ διδασκαλε διδασκεισ επ οδον οιδαμεν προσωπον,main_text
133,Mark,Mark 12:17,471,Luke,Luke 20:25,910,9,7,0.2758,0.3333,0.3333,0.1429,0.0,0.4204,3,0.4286,2,καισαρι θεω,4,αποδοτε θεω καισαρι καισαροσ,main_text
134,Mark,Mark 12:19,473,Luke,Luke 20:28,913,16,17,0.6186,0.6111,0.6111,0.6452,0.5517,0.6123,13,0.8125,6,διδασκαλε μωυσησ εγραψεν τινοσ αδελφοσ αποθανη,11,αδελφοσ αδελφω αποθανη γυναικα διδασκαλε εγραψεν εξαναστηση λαβη μωυσησ σπερμα τινοσ,main_text
135,Mark,Mark 12:20,474,Luke,Luke 20:29,914,9,8,0.4402,0.4167,0.4167,0.4,0.3077,0.3808,5,0.625,4,επτα αδελφοι ησαν πρωτοσ,5,αδελφοι γυναικα επτα ησαν πρωτοσ,main_text
136,Mark,Mark 12:21,475,Luke,Luke 20:31,916,8,8,0.2592,0.3333,0.3333,0.1429,0.0,0.3206,3,0.375,2,ελαβεν αυτην,4,αυτην ελαβεν τριτοσ ωσαυτωσ,main_text
137,Mark,Mark 12:22,476,Luke,Luke 20:32,917,6,3,0.3507,0.2857,0.2857,0.2857,0.0,0.252,2,0.6667,2,γυνη απεθανεν,2,απεθανεν γυνη,main_text
138,Mark,Mark 12:23,477,Luke,Luke 20:33,918,10,9,0.5931,0.6364,0.6364,0.4706,0.4,0.6441,7,0.7778,5,γυνη επτα εσχον αυτην γυναικα,7,αναστασει αυτην γυναικα γυνη επτα εσχον τινοσ,main_text
139,Mark,Mark 12:25,479,Luke,Luke 20:35,920,13,12,0.2683,0.2222,0.2222,0.2609,0.1905,0.2478,5,0.4167,4,ουτε γαμουσιν ουτε γαμιζονται,4,γαμιζονται γαμουσιν νεκρων ουτε,main_text
140,Mark,Mark 12:26,480,Luke,Luke 20:37,922,15,14,0.1809,0.2632,0.2632,0.0,0.0,0.2991,5,0.3571,1,εγειρονται,5,αβρααμ βατου εγειρονται ιακωβ ισαακ,main_text
141,Mark,Mark 12:27,481,Luke,Luke 20:38,923,7,8,0.4313,0.5,0.5,0.3077,0.1818,0.46,4,0.5714,3,νεκρων αλλα ζωντων,5,αλλα εστιν ζωντων θεοσ νεκρων,main_text
142,Mark,Mark 12:35,489,Luke,Luke 20:41,926,11,8,0.1898,0.1875,0.1875,0.1176,0.0,0.1995,3,0.375,2,πωσ λεγουσιν,3,δαυιδ λεγουσιν πωσ,main_text
143,Mark,Mark 12:36,490,Luke,Luke 20:43,928,14,6,0.4326,0.3333,0.3333,0.3333,0.25,0.3189,5,0.8333,4,εωσ θω τουσ εχθρουσ,5,εχθρουσ εωσ θω ποδων τουσ,main_text
144,Mark,Mark 12:37,491,Luke,Luke 20:44,929,10,6,0.2839,0.3333,0.3333,0.1429,0.0,0.2737,3,0.5,2,δαυιδ κυριον,4,δαυιδ εστιν κυριον υιοσ,main_text
145,Mark,Mark 12:39,493,Luke,Luke 20:46,931,6,15,0.5933,0.4286,0.4286,0.5263,0.4706,0.3907,6,1.0,6,πρωτοκαθεδριασ ταισ συναγωγαισ πρωτοκλισιασ τοισ δειπνοισ,6,δειπνοισ πρωτοκαθεδριασ πρωτοκλισιασ συναγωγαισ ταισ τοισ,main_text
146,Mark,Mark 12:40,494,Luke,Luke 20:47,932,11,11,0.6735,0.6923,0.6923,0.7,0.5556,0.6561,9,0.8182,5,τασ οικιασ χηρων προφασει μακρα,9,κριμα λημψονται μακρα οικιασ ουτοι περισσοτερον προφασει τασ χηρων,main_text
147,Mark,Mark 12:43,497,Luke,Luke 21:3,935,13,6,0.5052,0.3571,0.3571,0.4706,0.4,0.3986,5,0.8333,5,λεγω χηρα πτωχη πλειον εβαλεν,5,εβαλεν λεγω πλειον πτωχη χηρα,main_text
148,Mark,Mark 12:44,498,Luke,Luke 21:4,936,13,12,0.3993,0.5,0.5,0.2609,0.0952,0.5023,7,0.5833,3,περισσευοντοσ αυτοισ εβαλον,8,αυτησ αυτοισ βιον εβαλεν εβαλον ειχεν παντεσ περισσευοντοσ,main_text
149,Mark,Mark 13:4,502,Luke,Luke 21:7,939,8,11,0.67,0.5455,0.5455,0.7059,0.6667,0.5042,7,0.875,7,ποτε ταυτα εσται σημειον οταν μελλη ταυτα,6,εσται μελλη οταν ποτε σημειον ταυτα,main_text
150,Mark,Mark 13:6,504,Luke,Luke 21:8,940,7,11,0.4912,0.3846,0.3846,0.5,0.4286,0.3194,5,0.7143,5,πολλοι ελευσονται ονοματι λεγοντεσ ειμι,5,ειμι ελευσονται λεγοντεσ ονοματι πολλοι,main_text
151,Mark,Mark 13:7,505,Luke,Luke 21:9,941,11,12,0.3713,0.4375,0.4667,0.1905,0.1053,0.4108,7,0.6364,3,οταν ακουσητε πολεμουσ,7,ακουσητε αλλ γενεσθαι δει οταν πολεμουσ τελοσ,main_text
152,Mark,Mark 13:8,506,Luke,Luke 21:10,942,14,7,0.5385,0.3846,0.3846,0.5263,0.4706,0.3615,6,0.8571,6,εγερθησεται εθνοσ επ εθνοσ βασιλεια βασιλειαν,5,βασιλεια βασιλειαν εγερθησεται εθνοσ επ,main_text
153,Mark,Mark 13:9,507,Luke,Luke 21:13,945,18,3,0.2391,0.1176,0.1176,0.1053,0.0,0.0857,2,0.6667,2,εισ μαρτυριον,2,εισ μαρτυριον,main_text
154,Mark,Mark 13:13,511,Luke,Luke 21:17,949,8,3,0.5382,0.375,0.375,0.4444,0.2857,0.4138,3,1.0,3,εσεσθε μισουμενοι ονομα,3,εσεσθε μισουμενοι ονομα,main_text
155,Mark,Mark 13:14,512,Luke,Luke 21:21,953,14,12,0.2382,0.1905,0.2,0.25,0.1818,0.1817,4,0.3333,4,ιουδαια φευγετωσαν εισ ορη,4,εισ ιουδαια ορη φευγετωσαν,main_text
156,Mark,Mark 13:17,515,Luke,Luke 21:23,955,9,17,0.658,0.4667,0.4667,0.6667,0.6364,0.4878,9,1.0,9,ουαι ταισ γαστρι εχουσαισ ταισ θηλαζουσαισ εκειναισ ταισ ημεραισ,7,γαστρι εκειναισ εχουσαισ ημεραισ θηλαζουσαισ ουαι ταισ,main_text
157,Mark,Mark 13:26,524,Luke,Luke 21:27,959,8,8,0.663,0.7778,1.0,0.4286,0.3333,0.7397,6,0.75,4,οψονται υιον ανθρωπου ερχομενον,7,ανθρωπου δοξησ δυναμεωσ ερχομενον οψονται πολλησ υιον,main_text
158,Mark,Mark 13:28,526,Luke,Luke 21:30,962,16,11,0.2829,0.3,0.3,0.16,0.087,0.2628,6,0.5455,3,εγγυσ θεροσ εστιν,6,γινωσκετε εγγυσ εστιν ηδη θεροσ οταν,main_text
159,Mark,Mark 13:29,527,Luke,Luke 21:31,963,10,10,0.8569,0.8182,0.8182,0.8889,0.875,0.7876,9,0.9,9,ουτωσ υμεισ οταν ιδητε ταυτα γινομενα γινωσκετε εγγυσ εστιν,9,γινομενα γινωσκετε εγγυσ εστιν ιδητε οταν ουτωσ ταυτα υμεισ,main_text
160,Mark,Mark 13:30,528,Luke,Luke 21:32,964,7,6,0.6264,0.625,0.625,0.5455,0.4444,0.6232,5,0.8333,4,αμην λεγω παρελθη γενεα,5,αμην γενεα γενηται λεγω παρελθη,main_text
161,Mark,Mark 13:31,529,Luke,Luke 21:33,965,5,5,1.0,1.0,1.0,1.0,1.0,1.0,5,1.0,5,ουρανοσ γη παρελευσονται λογοι παρελευσονται,4,γη λογοι ουρανοσ παρελευσονται,main_text
162,Mark,Mark 14:1,536,Luke,Luke 22:2,972,11,7,0.3728,0.2857,0.2857,0.375,0.2857,0.2419,4,0.5714,4,εζητουν αρχιερεισ γραμματεισ πωσ,4,αρχιερεισ γραμματεισ εζητουν πωσ,main_text
163,Mark,Mark 14:11,546,Luke,Luke 22:5,975,10,5,0.4211,0.3636,0.3636,0.3077,0.1818,0.3178,4,0.8,3,αυτω αργυριον δουναι,4,αργυριον αυτω δουναι εχαρησαν,main_text
