pair_id,matt_ref,luke_ref,matt_index,luke_index,score,score_content,score_all,neighbor_support,rank_matt_to_luke,rank_luke_to_matt,pair_classes,matt_token_count,luke_token_count,matt_content_count,luke_content_count
145,Matt 21:25,Luke 20:5,704,889,0.43224,0.551919,0.46336,0.152326,1,1,matt_expands,29,17,14,8
146,Matt 21:26,Luke 20:6,705,890,0.152326,0.149862,0.278081,0.43224,1,1,substitution,15,16,8,10
147,Matt 21:27,Luke 20:8,706,892,0.704592,0.677489,0.774283,0.044681,1,1,matt_expands,20,14,13,8
148,Matt 21:33,Luke 20:9,712,893,0.343009,0.325539,0.387932,0.259222,1,1,matt_expands,27,20,17,13
149,Matt 21:34,Luke 20:10,713,894,0.259222,0.241408,0.305028,0.343009,1,1,luke_expands;reordering,18,22,8,11
150,Matt 21:37,Luke 20:13,716,897,0.15287,0.128183,0.216353,0.399231,1,3,luke_expands;substitution;reordering,13,17,6,11
151,Matt 21:38,Luke 20:14,717,898,0.399231,0.411267,0.36828,0.54463,1,1,substitution,21,20,11,10
152,Matt 21:39,Luke 20:15,718,899,0.54463,0.601959,0.397213,0.399231,1,1,luke_expands,9,15,4,7
153,Matt 21:40,Luke 20:16,719,900,0.169698,0.144893,0.23348,0.54463,5,1,luke_expands;substitution,12,16,7,11
154,Matt 21:42,Luke 20:17,721,901,0.495538,0.50138,0.480515,0.152005,1,1,matt_expands;reordering,29,21,18,13
155,Matt 21:44,Luke 20:18,723,902,0.671571,0.613154,0.821788,0.216876,1,1,partial_overlap,15,15,6,7
156,Matt 21:45,Luke 20:19,724,903,0.216876,0.214014,0.224233,0.671571,1,1,luke_expands;substitution;reordering,15,29,6,12
157,Matt 22:16,Luke 20:21,741,905,0.331284,0.335252,0.32108,0.279946,1,1,matt_expands;reordering,35,23,19,14
158,Matt 22:17,Luke 20:22,742,906,0.279946,0.272957,0.297918,0.331284,1,1,matt_expands;substitution;reordering,12,7,8,5
159,Matt 22:20,Luke 20:24,745,908,0.235008,0.249389,0.198029,0.815899,1,1,reordering,10,12,5,9
160,Matt 22:21,Luke 20:25,746,909,0.815899,0.883226,0.642772,0.235008,1,1,partial_overlap,17,16,9,6
161,Matt 22:23,Luke 20:27,748,911,0.303006,0.306672,0.29358,0.411777,1,1,substitution;reordering,14,12,9,8
162,Matt 22:24,Luke 20:28,749,912,0.411777,0.392264,0.461955,0.303006,1,1,luke_expands,23,28,15,18
163,Matt 22:25,Luke 20:29,750,913,0.221606,0.236873,0.182347,0.411777,1,1,matt_expands;substitution;reordering,22,11,12,8
164,Matt 22:26,Luke 20:30,751,914,0.394366,0.361576,0.478682,0.221606,1,1,matt_expands,10,3,4,1
165,Matt 22:27,Luke 20:32,752,916,0.359116,0.334689,0.42193,0.360463,1,1,reordering,6,5,4,4
166,Matt 22:28,Luke 20:33,753,917,0.360463,0.368664,0.339376,0.359116,1,1,luke_expands;reordering,13,16,7,8
167,Matt 22:30,Luke 20:35,755,919,0.319444,0.279268,0.422755,0.087902,1,1,partial_overlap,16,17,7,8
168,Matt 22:32,Luke 20:37,757,921,0.496521,0.524273,0.425161,0.087902,1,1,luke_expands;reordering,20,23,12,14
