pair_id,matt_ref,luke_ref,matt_index,luke_index,score,score_content,score_all,neighbor_support,rank_matt_to_luke,rank_luke_to_matt,pair_classes,matt_token_count,luke_token_count,matt_content_count,luke_content_count
218,Matt 27:33,Luke 23:33,1014,1072,0.191721,0.217577,0.125236,0.011308,2,1,luke_expands;substitution,11,23,8,9
219,Matt 27:35,Luke 23:34,1016,1073,0.530805,0.563249,0.447378,0.020723,1,1,luke_expands,9,19,5,12
220,Matt 27:37,Luke 23:37,1018,1076,0.261878,0.261966,0.261651,0.004066,1,2,matt_expands;substitution,17,11,9,5
221,Matt 27:45,Luke 23:44,1026,1083,0.551764,0.542118,0.576566,0.008614,1,1,luke_expands;substitution,13,16,8,11
222,Matt 27:51,Luke 23:45,1032,1084,0.322173,0.31863,0.331282,0.077715,1,1,matt_expands;substitution;reordering,21,10,10,6
223,Matt 27:55,Luke 23:49,1036,1088,0.13156,0.120125,0.160966,0.038498,1,1,substitution;reordering,17,17,10,9
224,Matt 27:58,Luke 23:52,1039,1091,0.762566,0.752146,0.789361,0.222451,1,1,matt_expands,14,9,10,6
225,Matt 27:59,Luke 23:53,1040,1092,0.222451,0.214926,0.241801,0.762566,1,1,luke_expands,10,17,6,12
226,Matt 27:62,Luke 23:54,1043,1093,0.207407,0.25144,0.094179,0.006792,1,2,matt_expands;substitution,16,7,7,5
227,Matt 28:1,Luke 24:1,1048,1096,0.130497,0.150001,0.080342,0.161144,3,1,matt_expands;substitution;reordering,19,15,11,9
228,Matt 28:2,Luke 24:2,1049,1097,0.161144,0.160422,0.162999,0.130497,1,2,matt_expands;substitution;reordering,20,8,11,4
229,Matt 28:6,Luke 24:6,1053,1101,0.258192,0.293125,0.168364,0.040665,1,1,substitution,13,14,10,9
230,Matt 28:8,Luke 24:12,1055,1107,0.129505,0.118219,0.158525,0.016648,3,1,luke_expands;reordering,16,21,9,11
231,Matt 28:16,Luke 24:28,1063,1123,0.122325,0.116648,0.136923,0.007345,1,2,matt_expands;substitution,16,12,8,7
232,Matt 28:19,Luke 24:47,1066,1142,0.146425,0.140905,0.160618,0.033173,3,4,matt_expands;substitution;reordering,20,17,10,9
233,Matt 28:20,Luke 24:53,1067,1148,0.114821,0.142397,0.043912,0.005516,3,5,matt_expands;substitution;reordering,21,10,9,5
