luke_window_start_ref,luke_window_center_ref,luke_window_end_ref,rank,matt_window_start_ref,matt_window_center_ref,matt_window_end_ref,score
Luke 1:5,Luke 1:6,Luke 1:7,10,Matt 10:41,Matt 10:42,Matt 11:1,0.058114
Luke 1:6,Luke 1:7,Luke 1:8,1,Matt 22:30,Matt 22:31,Matt 22:32,0.091251
Luke 1:6,Luke 1:7,Luke 1:8,2,Matt 22:31,Matt 22:32,Matt 22:33,0.086582
Luke 1:6,Luke 1:7,Luke 1:8,3,Matt 22:32,Matt 22:33,Matt 22:34,0.076791
Luke 1:6,Luke 1:7,Luke 1:8,4,Matt 22:36,Matt 22:37,Matt 22:38,0.067369
Luke 1:6,Luke 1:7,Luke 1:8,5,Matt 13:30,Matt 13:31,Matt 13:32,0.066414
Luke 1:6,Luke 1:7,Luke 1:8,6,Matt 23:28,Matt 23:29,Matt 23:30,0.064353
Luke 1:6,Luke 1:7,Luke 1:8,7,Matt 23:29,Matt 23:30,Matt 23:31,0.061948
Luke 1:6,Luke 1:7,Luke 1:8,8,Matt 23:30,Matt 23:31,Matt 23:32,0.05711
Luke 1:6,Luke 1:7,Luke 1:8,9,Matt 22:38,Matt 22:39,Matt 22:40,0.053322
Luke 1:6,Luke 1:7,Luke 1:8,10,Matt 15:25,Matt 15:26,Matt 15:27,0.052983
Luke 1:7,Luke 1:8,Luke 1:9,1,Matt 22:30,Matt 22:31,Matt 22:32,0.066551
Luke 1:7,Luke 1:8,Luke 1:9,2,Matt 23:16,Matt 23:17,Matt 23:18,0.064985
Luke 1:7,Luke 1:8,Luke 1:9,3,Matt 23:15,Matt 23:16,Matt 23:17,0.064579
Luke 1:7,Luke 1:8,Luke 1:9,4,Matt 22:31,Matt 22:32,Matt 22:33,0.064215
Luke 1:7,Luke 1:8,Luke 1:9,5,Matt 26:61,Matt 26:62,Matt 26:63,0.060713
Luke 1:7,Luke 1:8,Luke 1:9,6,Matt 23:13,Matt 23:15,Matt 23:16,0.060524
Luke 1:7,Luke 1:8,Luke 1:9,7,Matt 22:32,Matt 22:33,Matt 22:34,0.05873
Luke 1:7,Luke 1:8,Luke 1:9,8,Matt 23:30,Matt 23:31,Matt 23:32,0.056487
Luke 1:7,Luke 1:8,Luke 1:9,9,Matt 15:25,Matt 15:26,Matt 15:27,0.056224
Luke 1:7,Luke 1:8,Luke 1:9,10,Matt 13:30,Matt 13:31,Matt 13:32,0.054821
Luke 1:8,Luke 1:9,Luke 1:10,1,Matt 6:5,Matt 6:6,Matt 6:7,0.071599
Luke 1:8,Luke 1:9,Luke 1:10,2,Matt 23:15,Matt 23:16,Matt 23:17,0.062997
Luke 1:8,Luke 1:9,Luke 1:10,3,Matt 6:4,Matt 6:5,Matt 6:6,0.061189
Luke 1:8,Luke 1:9,Luke 1:10,4,Matt 23:16,Matt 23:17,Matt 23:18,0.060842
Luke 1:8,Luke 1:9,Luke 1:10,5,Matt 23:13,Matt 23:15,Matt 23:16,0.058785
Luke 1:8,Luke 1:9,Luke 1:10,6,Matt 26:61,Matt 26:62,Matt 26:63,0.057482
Luke 1:8,Luke 1:9,Luke 1:10,7,Matt 18:30,Matt 18:31,Matt 18:32,0.056085
Luke 1:8,Luke 1:9,Luke 1:10,8,Matt 6:6,Matt 6:7,Matt 6:8,0.055103
Luke 1:8,Luke 1:9,Luke 1:10,9,Matt 18:31,Matt 18:32,Matt 18:33,0.052136
Luke 1:8,Luke 1:9,Luke 1:10,10,Matt 18:1,Matt 18:2,Matt 18:3,0.050774
Luke 1:9,Luke 1:10,Luke 1:11,1,Matt 23:19,Matt 23:20,Matt 23:21,0.079246
Luke 1:9,Luke 1:10,Luke 1:11,2,Matt 23:18,Matt 23:19,Matt 23:20,0.072416
Luke 1:9,Luke 1:10,Luke 1:11,3,Matt 23:17,Matt 23:18,Matt 23:19,0.071858
Luke 1:9,Luke 1:10,Luke 1:11,4,Matt 23:16,Matt 23:17,Matt 23:18,0.068529
Luke 1:9,Luke 1:10,Luke 1:11,5,Matt 6:5,Matt 6:6,Matt 6:7,0.06696
Luke 1:9,Luke 1:10,Luke 1:11,6,Matt 22:43,Matt 22:44,Matt 22:45,0.059305
Luke 1:9,Luke 1:10,Luke 1:11,7,Matt 1:20,Matt 1:21,Matt 1:22,0.058813
Luke 1:9,Luke 1:10,Luke 1:11,8,Matt 12:46,Matt 12:47,Matt 12:48,0.058366
Luke 1:9,Luke 1:10,Luke 1:11,9,Matt 18:30,Matt 18:31,Matt 18:32,0.0569
Luke 1:9,Luke 1:10,Luke 1:11,10,Matt 1:22,Matt 1:23,Matt 1:24,0.056745
Luke 1:10,Luke 1:11,Luke 1:12,1,Matt 23:18,Matt 23:19,Matt 23:20,0.072959
Luke 1:10,Luke 1:11,Luke 1:12,2,Matt 14:26,Matt 14:27,Matt 14:28,0.066101
Luke 1:10,Luke 1:11,Luke 1:12,3,Matt 23:19,Matt 23:20,Matt 23:21,0.061747
Luke 1:10,Luke 1:11,Luke 1:12,4,Matt 2:2,Matt 2:3,Matt 2:4,0.059432
Luke 1:10,Luke 1:11,Luke 1:12,5,Matt 6:5,Matt 6:6,Matt 6:7,0.058136
Luke 1:10,Luke 1:11,Luke 1:12,6,Matt 12:46,Matt 12:47,Matt 12:48,0.058077
Luke 1:10,Luke 1:11,Luke 1:12,7,Matt 14:25,Matt 14:26,Matt 14:27,0.057311
Luke 1:10,Luke 1:11,Luke 1:12,8,Matt 2:3,Matt 2:4,Matt 2:5,0.053948
Luke 1:10,Luke 1:11,Luke 1:12,9,Matt 25:31,Matt 25:32,Matt 25:33,0.053736
Luke 1:10,Luke 1:11,Luke 1:12,10,Matt 14:24,Matt 14:25,Matt 14:26,0.052411
Luke 1:11,Luke 1:12,Luke 1:13,1,Matt 1:23,Matt 1:24,Matt 1:25,0.154275
Luke 1:11,Luke 1:12,Luke 1:13,2,Matt 1:20,Matt 1:21,Matt 1:22,0.148059
Luke 1:11,Luke 1:12,Luke 1:13,3,Matt 1:19,Matt 1:20,Matt 1:21,0.13638
Luke 1:11,Luke 1:12,Luke 1:13,4,Matt 1:24,Matt 1:25,Matt 2:1,0.12274
Luke 1:11,Luke 1:12,Luke 1:13,5,Matt 1:21,Matt 1:22,Matt 1:23,0.120766
Luke 1:11,Luke 1:12,Luke 1:13,6,Matt 1:22,Matt 1:23,Matt 1:24,0.11633
Luke 1:11,Luke 1:12,Luke 1:13,7,Matt 14:26,Matt 14:27,Matt 14:28,0.088207
Luke 1:11,Luke 1:12,Luke 1:13,8,Matt 28:4,Matt 28:5,Matt 28:6,0.084146
Luke 1:11,Luke 1:12,Luke 1:13,9,Matt 1:25,Matt 2:1,Matt 2:2,0.080571
Luke 1:11,Luke 1:12,Luke 1:13,10,Matt 14:25,Matt 14:26,Matt 14:27,0.078689
Luke 1:12,Luke 1:13,Luke 1:14,1,Matt 1:23,Matt 1:24,Matt 1:25,0.132233
Luke 1:12,Luke 1:13,Luke 1:14,2,Matt 1:21,Matt 1:22,Matt 1:23,0.119632
Luke 1:12,Luke 1:13,Luke 1:14,3,Matt 1:20,Matt 1:21,Matt 1:22,0.119578
Luke 1:12,Luke 1:13,Luke 1:14,4,Matt 1:19,Matt 1:20,Matt 1:21,0.114502
Luke 1:12,Luke 1:13,Luke 1:14,5,Matt 1:24,Matt 1:25,Matt 2:1,0.096237
Luke 1:12,Luke 1:13,Luke 1:14,6,Matt 1:22,Matt 1:23,Matt 1:24,0.087084
Luke 1:12,Luke 1:13,Luke 1:14,7,Matt 14:26,Matt 14:27,Matt 14:28,0.086616
Luke 1:12,Luke 1:13,Luke 1:14,8,Matt 14:25,Matt 14:26,Matt 14:27,0.080301
Luke 1:12,Luke 1:13,Luke 1:14,9,Matt 1:25,Matt 2:1,Matt 2:2,0.078998
Luke 1:12,Luke 1:13,Luke 1:14,10,Matt 1:1,Matt 1:2,Matt 1:3,0.078768
Luke 1:13,Luke 1:14,Luke 1:15,1,Matt 1:20,Matt 1:21,Matt 1:22,0.131937
Luke 1:13,Luke 1:14,Luke 1:15,2,Matt 1:23,Matt 1:24,Matt 1:25,0.127887
Luke 1:13,Luke 1:14,Luke 1:15,3,Matt 1:19,Matt 1:20,Matt 1:21,0.125871
Luke 1:13,Luke 1:14,Luke 1:15,4,Matt 1:18,Matt 1:19,Matt 1:20,0.118524
Luke 1:13,Luke 1:14,Luke 1:15,5,Matt 1:21,Matt 1:22,Matt 1:23,0.113029
Luke 1:13,Luke 1:14,Luke 1:15,6,Matt 1:24,Matt 1:25,Matt 2:1,0.095081
Luke 1:13,Luke 1:14,Luke 1:15,7,Matt 1:22,Matt 1:23,Matt 1:24,0.089428
Luke 1:13,Luke 1:14,Luke 1:15,8,Matt 26:27,Matt 26:28,Matt 26:29,0.075995
Luke 1:13,Luke 1:14,Luke 1:15,9,Matt 1:25,Matt 2:1,Matt 2:2,0.072068
Luke 1:13,Luke 1:14,Luke 1:15,10,Matt 1:1,Matt 1:2,Matt 1:3,0.071793
Luke 1:14,Luke 1:15,Luke 1:16,1,Matt 1:18,Matt 1:19,Matt 1:20,0.09037
Luke 1:14,Luke 1:15,Luke 1:16,2,Matt 26:27,Matt 26:28,Matt 26:29,0.081802
Luke 1:14,Luke 1:15,Luke 1:16,3,Matt 26:28,Matt 26:29,Matt 26:30,0.074499
Luke 1:14,Luke 1:15,Luke 1:16,4,Matt 22:36,Matt 22:37,Matt 22:38,0.070692
Luke 1:14,Luke 1:15,Luke 1:16,5,Matt 27:52,Matt 27:53,Matt 27:54,0.066302
Luke 1:14,Luke 1:15,Luke 1:16,6,Matt 22:37,Matt 22:38,Matt 22:39,0.064571
Luke 1:14,Luke 1:15,Luke 1:16,7,Matt 25:21,Matt 25:22,Matt 25:23,0.062132
Luke 1:14,Luke 1:15,Luke 1:16,8,Matt 24:10,Matt 24:11,Matt 24:12,0.061502
Luke 1:14,Luke 1:15,Luke 1:16,9,Matt 19:12,Matt 19:13,Matt 19:14,0.06133
Luke 1:14,Luke 1:15,Luke 1:16,10,Matt 4:5,Matt 4:6,Matt 4:7,0.061243
Luke 1:15,Luke 1:16,Luke 1:17,1,Matt 1:18,Matt 1:19,Matt 1:20,0.074086
Luke 1:15,Luke 1:16,Luke 1:17,2,Matt 22:43,Matt 22:44,Matt 22:45,0.071356
Luke 1:15,Luke 1:16,Luke 1:17,3,Matt 10:20,Matt 10:21,Matt 10:22,0.06972
Luke 1:15,Luke 1:16,Luke 1:17,4,Matt 10:21,Matt 10:22,Matt 10:23,0.067877
Luke 1:15,Luke 1:16,Luke 1:17,5,Matt 22:36,Matt 22:37,Matt 22:38,0.067346
Luke 1:15,Luke 1:16,Luke 1:17,6,Matt 26:27,Matt 26:28,Matt 26:29,0.067267
Luke 1:15,Luke 1:16,Luke 1:17,7,Matt 22:42,Matt 22:43,Matt 22:44,0.062823
