luke_center_ref,matt_center_ref,luke_window_refs,matt_window_refs,rank,window_score
Luke 1:4,Matt 5:37,Luke 1:3 | Luke 1:4 | Luke 1:5,Matt 5:36 | Matt 5:37 | Matt 5:38,9,0.044984
Luke 1:4,Matt 15:12,Luke 1:3 | Luke 1:4 | Luke 1:5,Matt 14:35 | Matt 15:12 | Matt 15:13,10,0.042136
Luke 1:5,Matt 2:1,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 1:25 | Matt 2:1 | Matt 2:2,1,0.170359
Luke 1:5,Matt 12:21,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 12:20 | Matt 12:21 | Matt 12:22,2,0.104065
Luke 1:5,Matt 7:22,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 7:21 | Matt 7:22 | Matt 7:23,3,0.086144
Luke 1:5,Matt 1:7,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 1:6 | Matt 1:7 | Matt 1:8,4,0.076791
Luke 1:5,Matt 1:25,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 1:24 | Matt 1:25 | Matt 2:1,5,0.072212
Luke 1:5,Matt 3:1,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 2:23 | Matt 3:1 | Matt 3:2,6,0.067490
Luke 1:5,Matt 2:3,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 2:2 | Matt 2:3 | Matt 2:4,7,0.066473
Luke 1:5,Matt 15:28,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 15:25 | Matt 15:28 | Matt 15:29,8,0.065682
Luke 1:5,Matt 1:21,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 1:20 | Matt 1:21 | Matt 1:22,9,0.064746
Luke 1:5,Matt 6:9,Luke 1:4 | Luke 1:5 | Luke 1:6,Matt 6:8 | Matt 6:9 | Matt 6:10,10,0.064653
Luke 1:6,Matt 20:4,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 20:3 | Matt 20:4 | Matt 20:5,1,0.104351
Luke 1:6,Matt 22:38,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 22:36 | Matt 22:38 | Matt 22:40,2,0.086918
Luke 1:6,Matt 10:41,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 10:36 | Matt 10:41 | Matt 11:1,3,0.069349
Luke 1:6,Matt 22:36,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 22:35 | Matt 22:36 | Matt 22:38,4,0.066899
Luke 1:6,Matt 22:40,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 22:38 | Matt 22:40 | Matt 22:41,5,0.058731
Luke 1:6,Matt 23:35,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 23:34 | Matt 23:35 | Matt 23:36,6,0.055452
Luke 1:6,Matt 25:46,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 25:45 | Matt 25:46 | Matt 26:1,7,0.053430
Luke 1:6,Matt 7:21,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 7:20 | Matt 7:21 | Matt 7:22,8,0.052075
Luke 1:6,Matt 25:37,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 25:36 | Matt 25:37 | Matt 25:38,9,0.047748
Luke 1:6,Matt 12:28,Luke 1:5 | Luke 1:6 | Luke 1:7,Matt 12:23 | Matt 12:28 | Matt 12:30,10,0.045836
Luke 1:7,Matt 23:30,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 23:29 | Matt 23:30 | Matt 23:31,1,0.131410
Luke 1:7,Matt 22:8,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 22:7 | Matt 22:8 | Matt 22:9,2,0.095961
Luke 1:7,Matt 2:18,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 2:17 | Matt 2:18 | Matt 2:19,3,0.095229
Luke 1:7,Matt 10:24,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 10:23 | Matt 10:24 | Matt 10:25,4,0.089851
Luke 1:7,Matt 18:14,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 18:13 | Matt 18:14 | Matt 18:15,5,0.070981
Luke 1:7,Matt 13:39,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 13:38 | Matt 13:39 | Matt 13:40,6,0.067751
Luke 1:7,Matt 13:38,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 13:37 | Matt 13:38 | Matt 13:39,7,0.063850
Luke 1:7,Matt 24:37,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 24:28 | Matt 24:37 | Matt 24:38,8,0.063267
Luke 1:7,Matt 6:21,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 6:20 | Matt 6:21 | Matt 6:22,9,0.063214
Luke 1:7,Matt 25:43,Luke 1:6 | Luke 1:7 | Luke 1:8,Matt 25:42 | Matt 25:43 | Matt 25:44,10,0.062807
Luke 1:8,Matt 12:28,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 12:23 | Matt 12:28 | Matt 12:30,1,0.069701
Luke 1:8,Matt 23:22,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 23:21 | Matt 23:22 | Matt 23:23,2,0.056976
Luke 1:8,Matt 14:33,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 14:31 | Matt 14:33 | Matt 14:35,3,0.054791
Luke 1:8,Matt 27:43,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 27:36 | Matt 27:43 | Matt 27:44,4,0.048920
Luke 1:8,Matt 4:3,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 4:2 | Matt 4:3 | Matt 4:4,5,0.048255
Luke 1:8,Matt 5:8,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 5:7 | Matt 5:8 | Matt 5:9,6,0.040533
Luke 1:8,Matt 5:34,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 5:33 | Matt 5:34 | Matt 5:35,7,0.039598
Luke 1:8,Matt 18:31,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 18:30 | Matt 18:31 | Matt 18:32,8,0.039352
Luke 1:8,Matt 27:54,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 27:53 | Matt 27:54 | Matt 27:55,9,0.039068
Luke 1:8,Matt 11:23,Luke 1:7 | Luke 1:8 | Luke 1:9,Matt 11:22 | Matt 11:23 | Matt 11:24,10,0.036565
Luke 1:9,Matt 23:16,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 23:15 | Matt 23:16 | Matt 23:17,1,0.096105
Luke 1:9,Matt 7:21,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 7:20 | Matt 7:21 | Matt 7:22,2,0.079727
Luke 1:9,Matt 27:5,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 27:4 | Matt 27:5 | Matt 27:6,3,0.077084
Luke 1:9,Matt 23:21,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 23:20 | Matt 23:21 | Matt 23:22,4,0.076943
Luke 1:9,Matt 23:17,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 23:16 | Matt 23:17 | Matt 23:18,5,0.072676
Luke 1:9,Matt 23:13,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 23:12 | Matt 23:13 | Matt 23:15,6,0.067497
Luke 1:9,Matt 25:23,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 25:22 | Matt 25:23 | Matt 25:24,7,0.064806
Luke 1:9,Matt 25:21,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 25:20 | Matt 25:21 | Matt 25:22,8,0.064806
Luke 1:9,Matt 10:12,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 10:11 | Matt 10:12 | Matt 10:13,9,0.055498
Luke 1:9,Matt 2:21,Luke 1:8 | Luke 1:9 | Luke 1:10,Matt 2:20 | Matt 2:21 | Matt 2:22,10,0.046764
Luke 1:10,Matt 27:25,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 27:24 | Matt 27:25 | Matt 27:28,1,0.078358
Luke 1:10,Matt 18:1,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 17:27 | Matt 18:1 | Matt 18:4,2,0.067994
Luke 1:10,Matt 6:5,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 6:4 | Matt 6:5 | Matt 6:6,3,0.067074
Luke 1:10,Matt 4:23,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 4:22 | Matt 4:23 | Matt 4:24,4,0.064825
Luke 1:10,Matt 6:6,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 6:5 | Matt 6:6 | Matt 6:7,5,0.063231
Luke 1:10,Matt 2:4,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 2:3 | Matt 2:4 | Matt 2:5,6,0.063043
Luke 1:10,Matt 27:1,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 26:72 | Matt 27:1 | Matt 27:2,7,0.059915
Luke 1:10,Matt 24:44,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 24:43 | Matt 24:44 | Matt 24:45,8,0.059772
Luke 1:10,Matt 17:18,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 17:16 | Matt 17:18 | Matt 17:20,9,0.056818
Luke 1:10,Matt 5:44,Luke 1:9 | Luke 1:10 | Luke 1:11,Matt 5:43 | Matt 5:44 | Matt 5:45,10,0.053238
Luke 1:11,Matt 25:33,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 25:32 | Matt 25:33 | Matt 25:34,1,0.127012
Luke 1:11,Matt 2:19,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 2:18 | Matt 2:19 | Matt 2:20,2,0.121936
Luke 1:11,Matt 1:24,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 1:23 | Matt 1:24 | Matt 1:25,3,0.118824
Luke 1:11,Matt 23:19,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 23:18 | Matt 23:19 | Matt 23:20,4,0.096976
Luke 1:11,Matt 28:2,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 28:1 | Matt 28:2 | Matt 28:3,5,0.095637
Luke 1:11,Matt 23:20,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 23:19 | Matt 23:20 | Matt 23:21,6,0.094760
Luke 1:11,Matt 1:20,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 1:19 | Matt 1:20 | Matt 1:21,7,0.091527
Luke 1:11,Matt 2:13,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 2:12 | Matt 2:13 | Matt 2:14,8,0.082154
Luke 1:11,Matt 5:23,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 5:22 | Matt 5:23 | Matt 5:24,9,0.080676
Luke 1:11,Matt 23:18,Luke 1:10 | Luke 1:11 | Luke 1:12,Matt 23:17 | Matt 23:18 | Matt 23:19,10,0.074634
Luke 1:12,Matt 2:3,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 2:2 | Matt 2:3 | Matt 2:4,1,0.101117
Luke 1:12,Matt 28:4,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 28:3 | Matt 28:4 | Matt 28:5,2,0.081627
Luke 1:12,Matt 28:8,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 28:5 | Matt 28:8 | Matt 28:9,3,0.063279
Luke 1:12,Matt 23:35,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 23:34 | Matt 23:35 | Matt 23:36,4,0.044461
Luke 1:12,Matt 28:17,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 28:16 | Matt 28:17 | Matt 28:18,5,0.041090
Luke 1:12,Matt 5:8,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 5:7 | Matt 5:8 | Matt 5:9,6,0.030774
Luke 1:12,Matt 21:19,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 21:18 | Matt 21:19 | Matt 21:20,7,0.030606
Luke 1:12,Matt 5:1,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 4:25 | Matt 5:1 | Matt 5:2,8,0.030568
Luke 1:12,Matt 25:39,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 25:38 | Matt 25:39 | Matt 25:40,9,0.030414
Luke 1:12,Matt 27:24,Luke 1:11 | Luke 1:12 | Luke 1:13,Matt 27:22 | Matt 27:24 | Matt 27:25,10,0.029573
Luke 1:13,Matt 1:25,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 1:24 | Matt 1:25 | Matt 2:1,1,0.206786
Luke 1:13,Matt 1:21,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 1:20 | Matt 1:21 | Matt 1:22,2,0.181643
Luke 1:13,Matt 1:23,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 1:22 | Matt 1:23 | Matt 1:24,3,0.144762
Luke 1:13,Matt 28:5,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 28:4 | Matt 28:5 | Matt 28:8,4,0.141774
Luke 1:13,Matt 1:20,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 1:19 | Matt 1:20 | Matt 1:21,5,0.131051
Luke 1:13,Matt 17:7,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 17:6 | Matt 17:7 | Matt 17:13,6,0.104817
Luke 1:13,Matt 10:31,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 10:30 | Matt 10:31 | Matt 10:32,7,0.095005
Luke 1:13,Matt 10:28,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 10:27 | Matt 10:28 | Matt 10:29,8,0.079904
Luke 1:13,Matt 28:10,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 28:9 | Matt 28:10 | Matt 28:11,9,0.079509
Luke 1:13,Matt 1:2,Luke 1:12 | Luke 1:13 | Luke 1:14,Matt 1:1 | Matt 1:2 | Matt 1:3,10,0.075629
Luke 1:14,Matt 2:10,Luke 1:13 | Luke 1:14 | Luke 1:15,Matt 2:9 | Matt 2:10 | Matt 2:11,1,0.128284
