source_book,source_ref,source_idx,target_book,target_ref_window,target_start_idx,target_window_n_verses,score,cheap_score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens
Luke,Luke 1:8,8,Mark,Mark 11:19-11:19,441,1,0.1447,0.1157,0.1818,0.1818,0.0,0.0,2,0.3333,1,εγενετο,2,εγενετο τησ
Luke,Luke 1:8,8,Mark,Mark 9:7-9:7,329,1,0.1206,0.078,0.125,0.125,0.0,0.0,2,0.3333,1,εγενετο,2,εγενετο τησ
Luke,Luke 1:8,8,Mark,Mark 9:3-9:3,325,1,0.1202,0.0778,0.125,0.125,0.0,0.0,2,0.3333,1,εγενετο,2,εγενετο τησ
Luke,Luke 1:8,8,Mark,Mark 1:9-1:9,9,1,0.1174,0.074,0.1176,0.1176,0.0,0.0,2,0.3333,1,εγενετο,2,εγενετο τησ
Luke,Luke 1:8,8,Mark,Mark 11:19-11:20,441,2,0.117,0.0731,0.1176,0.1176,0.0,0.0,2,0.3333,1,εγενετο,2,εγενετο τησ
Luke,Luke 1:9,9,Mark,Mark 2:1-2:1,46,1,0.1533,0.1283,0.1429,0.1429,0.1429,0.0,2,0.25,2,εισελθων εισ,2,εισ εισελθων
Luke,Luke 1:9,9,Mark,Mark 5:1-5:1,150,1,0.115,0.0982,0.1538,0.1538,0.0,0.0,2,0.25,1,τησ,2,εισ τησ
Luke,Luke 1:9,9,Mark,Mark 7:24-7:24,271,1,0.1281,0.0908,0.1053,0.1053,0.1,0.0,2,0.25,2,εισελθων εισ,2,εισ εισελθων
Luke,Luke 1:9,9,Mark,Mark 1:28-1:28,28,1,0.0876,0.0838,0.1333,0.1333,0.0,0.0,1,0.125,1,τησ,2,εισ τησ
Luke,Luke 1:9,9,Mark,Mark 10:25-10:25,395,1,0.1101,0.0835,0.1176,0.1875,0.0,0.0,2,0.25,1,τησ,2,εισ τησ
Luke,Luke 1:10,10,Mark,Mark 15:25-15:25,632,1,0.1383,0.0807,0.125,0.125,0.0,0.0,1,0.3333,1,ωρα,1,ωρα
Luke,Luke 1:10,10,Mark,Mark 12:8-12:8,462,1,0.0941,0.0665,0.1,0.1,0.0,0.0,1,0.2,1,εξω,1,εξω
Luke,Luke 1:10,10,Mark,Mark 14:2-14:2,537,1,0.0824,0.0625,0.0909,0.0909,0.0,0.0,1,0.1667,1,λαου,1,λαου
Luke,Luke 1:10,10,Mark,Mark 11:19-11:19,441,1,0.0787,0.0562,0.0833,0.0833,0.0,0.0,1,0.1667,1,εξω,1,εξω
Luke,Luke 1:10,10,Mark,Mark 5:10-5:10,159,1,0.0786,0.0559,0.0833,0.0833,0.0,0.0,1,0.1667,1,εξω,1,εξω
Luke,Luke 1:11,11,Mark,Mark 15:27-15:27,634,1,0.1296,0.1074,0.1667,0.1667,0.0,0.0,2,0.2857,1,αυτω,2,αυτω δεξιων
Luke,Luke 1:11,11,Mark,Mark 10:37-10:37,407,1,0.1242,0.0991,0.1538,0.1538,0.0,0.0,2,0.2857,1,αυτω,2,αυτω δεξιων
Luke,Luke 1:11,11,Mark,Mark 10:36-10:37,406,2,0.1118,0.0801,0.125,0.125,0.0,0.0,2,0.2857,1,αυτω,2,αυτω δεξιων
Luke,Luke 1:11,11,Mark,Mark 15:26-15:27,633,2,0.1055,0.0704,0.1111,0.1111,0.0,0.0,2,0.2857,1,αυτω,2,αυτω δεξιων
Luke,Luke 1:11,11,Mark,Mark 1:43-1:43,43,1,0.1047,0.0614,0.1,0.1,0.0,0.0,1,0.25,1,αυτω,1,αυτω
Luke,Luke 1:12,12,Mark,Mark 5:6-5:6,155,1,0.1111,0.0722,0.1111,0.1111,0.0,0.0,1,0.25,1,ιδων,1,ιδων
Luke,Luke 1:12,12,Mark,Mark 11:13-11:13,435,1,0.1128,0.067,0.1053,0.1053,0.0,0.0,2,0.3333,1,ιδων,2,επ ιδων
Luke,Luke 1:12,12,Mark,Mark 5:21-5:22,170,2,0.0801,0.0557,0.087,0.087,0.0,0.0,1,0.1667,1,ιδων,2,επ ιδων
Luke,Luke 1:12,12,Mark,Mark 2:5-2:5,50,1,0.0783,0.0555,0.0833,0.0833,0.0,0.0,1,0.1667,1,ιδων,1,ιδων
Luke,Luke 1:12,12,Mark,Mark 11:12-11:13,434,2,0.1047,0.055,0.087,0.087,0.0,0.0,2,0.3333,1,ιδων,2,επ ιδων
Luke,Luke 1:13,13,Mark,Mark 12:6-12:6,460,1,0.0757,0.0592,0.0909,0.0909,0.0,0.0,2,0.1818,1,προσ,2,προσ υιον
Luke,Luke 1:13,13,Mark,Mark 9:17-9:17,339,1,0.0605,0.0565,0.087,0.087,0.0,0.0,1,0.0909,1,προσ,2,προσ υιον
Luke,Luke 1:13,13,Mark,Mark 9:16-9:17,338,2,0.0619,0.0499,0.0769,0.0769,0.0,0.0,2,0.1429,1,προσ,2,προσ υιον
Luke,Luke 1:13,13,Mark,Mark 7:25-7:25,272,1,0.05,0.0487,0.0741,0.0741,0.0,0.0,1,0.0714,1,προσ,2,γυνη προσ
Luke,Luke 1:13,13,Mark,Mark 5:36-5:37,185,2,0.0597,0.0471,0.069,0.0714,0.0,0.0,2,0.1429,1,φοβου,2,ιωαννην φοβου
Luke,Luke 1:14,14,Mark,Mark 10:31-10:31,401,1,0.0902,0.0763,0.1111,0.1111,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:14,14,Mark,Mark 14:56-14:56,591,1,0.0814,0.0605,0.0909,0.0909,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:14,14,Mark,Mark 10:44-10:44,414,1,0.0814,0.0605,0.0909,0.0909,0.0,0.0,1,0.1667,1,εσται,1,εσται
Luke,Luke 1:14,14,Mark,Mark 14:2-14:2,537,1,0.0813,0.0603,0.0909,0.0909,0.0,0.0,1,0.1667,1,εσται,1,εσται
Luke,Luke 1:14,14,Mark,Mark 5:9-5:9,158,1,0.0816,0.0598,0.0909,0.0909,0.0,0.0,1,0.1667,1,πολλοι,1,πολλοι
Luke,Luke 1:15,15,Mark,Mark 10:43-10:43,413,1,0.0747,0.0705,0.1053,0.1053,0.0,0.0,1,0.1111,1,εσται,2,εσται μεγασ
Luke,Luke 1:15,15,Mark,Mark 10:43-10:44,413,2,0.0614,0.0604,0.0909,0.0909,0.0,0.0,1,0.0833,1,εσται,2,εσται μεγασ
Luke,Luke 1:15,15,Mark,Mark 10:42-10:43,412,2,0.0505,0.0444,0.0667,0.0667,0.0,0.0,1,0.0833,1,εσται,2,εσται μεγασ
Luke,Luke 1:15,15,Mark,Mark 12:6-12:7,460,2,0.0493,0.0418,0.0645,0.0645,0.0,0.0,1,0.0833,1,εσται,2,εσται ετι
Luke,Luke 1:15,15,Mark,Mark 10:43-10:45,413,3,0.0487,0.041,0.0625,0.0625,0.0,0.0,1,0.0833,1,εσται,2,εσται μεγασ
Luke,Luke 1:16,16,Mark,Mark 12:30-12:30,484,1,0.1724,0.1218,0.1538,0.1538,0.1053,0.0,2,0.3333,2,κυριον θεον,2,θεον κυριον
Luke,Luke 1:16,16,Mark,Mark 12:29-12:30,483,2,0.1855,0.1066,0.1429,0.1429,0.0667,0.0,3,0.5,2,κυριον θεον,3,θεον ισραηλ κυριον
Luke,Luke 1:16,16,Mark,Mark 12:29-12:31,483,3,0.1645,0.0774,0.1034,0.1034,0.05,0.0,3,0.5,2,κυριον θεον,3,θεον ισραηλ κυριον
Luke,Luke 1:16,16,Mark,Mark 12:30-12:31,484,2,0.1375,0.074,0.0909,0.0909,0.069,0.0,2,0.3333,2,κυριον θεον,2,θεον κυριον
Luke,Luke 1:16,16,Mark,Mark 12:28-12:30,482,3,0.1607,0.0721,0.0968,0.0968,0.0455,0.0,3,0.5,2,κυριον θεον,3,θεον ισραηλ κυριον
Luke,Luke 1:17,17,Mark,Mark 12:36-12:36,490,1,0.0867,0.0715,0.1071,0.1071,0.0,0.0,3,0.2143,1,αυτοσ,3,αυτοσ κυριω πνευματι
Luke,Luke 1:17,17,Mark,Mark 1:8-1:8,8,1,0.0898,0.059,0.0909,0.0909,0.0,0.0,2,0.25,1,αυτοσ,2,αυτοσ πνευματι
Luke,Luke 1:17,17,Mark,Mark 12:36-12:37,490,2,0.0697,0.0556,0.0833,0.0857,0.0,0.0,3,0.1765,1,αυτοσ,3,αυτοσ κυριω πνευματι
Luke,Luke 1:17,17,Mark,Mark 12:35-12:36,489,2,0.0675,0.0527,0.0789,0.0789,0.0,0.0,3,0.1765,1,αυτοσ,3,αυτοσ κυριω πνευματι
Luke,Luke 1:17,17,Mark,Mark 12:35-12:37,489,3,0.063,0.0448,0.0682,0.0698,0.0,0.0,3,0.1765,1,αυτοσ,3,αυτοσ κυριω πνευματι
Luke,Luke 1:18,18,Mark,Mark 13:24-13:24,522,1,0.1363,0.1183,0.1429,0.15,0.0909,0.0,3,0.25,2,ταισ ημεραισ,3,αυτησ ημεραισ ταισ
Luke,Luke 1:18,18,Mark,Mark 13:17-13:17,515,1,0.1286,0.1046,0.1176,0.1176,0.1053,0.0,2,0.2222,2,ταισ ημεραισ,2,ημεραισ ταισ
Luke,Luke 1:18,18,Mark,Mark 13:23-13:24,521,2,0.126,0.1026,0.125,0.1304,0.08,0.0,3,0.25,2,ταισ ημεραισ,3,αυτησ ημεραισ ταισ
Luke,Luke 1:18,18,Mark,Mark 13:17-13:18,515,2,0.104,0.0901,0.1,0.1,0.0909,0.0,2,0.1667,2,ταισ ημεραισ,2,ημεραισ ταισ
Luke,Luke 1:18,18,Mark,Mark 13:22-13:24,520,3,0.1295,0.0887,0.1176,0.1212,0.0556,0.0,4,0.3333,2,ταισ ημεραισ,4,αυτησ ημεραισ προσ ταισ
Luke,Luke 1:19,19,Mark,Mark 10:50-10:51,420,2,0.0918,0.0868,0.1364,0.1364,0.0,0.0,2,0.1667,1,αποκριθεισ,3,αποκριθεισ αυτω προσ
Luke,Luke 1:19,19,Mark,Mark 10:20-10:20,390,1,0.1203,0.078,0.125,0.125,0.0,0.0,2,0.3333,1,αυτω,2,αυτω ταυτα
Luke,Luke 1:19,19,Mark,Mark 15:2-15:2,609,1,0.108,0.0747,0.1176,0.1176,0.0,0.0,2,0.2857,1,αποκριθεισ,2,αποκριθεισ αυτω
Luke,Luke 1:19,19,Mark,Mark 10:51-10:51,421,1,0.0923,0.0718,0.1111,0.1111,0.0,0.0,2,0.2222,1,αποκριθεισ,2,αποκριθεισ αυτω
Luke,Luke 1:19,19,Mark,Mark 6:30-6:30,222,1,0.075,0.0704,0.1111,0.1111,0.0,0.0,1,0.1111,1,αυτω,2,αυτω προσ
Luke,Luke 1:20,20,Mark,Mark 10:24-10:24,394,1,0.1051,0.084,0.1034,0.1034,0.0667,0.0,3,0.2143,2,τοισ λογοισ,3,εισ λογοισ τοισ
Luke,Luke 1:20,20,Mark,Mark 10:33-10:34,403,2,0.07,0.0702,0.1111,0.1111,0.0,0.0,2,0.1111,1,ιδου,4,εισ ημερασ ιδου τοισ
Luke,Luke 1:20,20,Mark,Mark 10:23-10:24,393,2,0.0833,0.0669,0.0857,0.0857,0.0488,0.0,3,0.1667,2,τοισ λογοισ,3,εισ λογοισ τοισ
Luke,Luke 1:20,20,Mark,Mark 10:33-10:33,403,1,0.0692,0.0668,0.1034,0.1034,0.0,0.0,2,0.125,1,ιδου,3,εισ ιδου τοισ
Luke,Luke 1:20,20,Mark,Mark 10:24-10:25,394,2,0.082,0.065,0.0833,0.0833,0.0476,0.0,3,0.1667,2,τοισ λογοισ,3,εισ λογοισ τοισ
Luke,Luke 1:21,21,Mark,Mark 5:20-5:20,169,1,0.0722,0.0461,0.0667,0.0667,0.0,0.0,1,0.1667,1,εθαυμαζον,1,εθαυμαζον
Luke,Luke 1:21,21,Mark,Mark 7:6-7:6,254,1,0.0622,0.0303,0.0455,0.0455,0.0,0.0,1,0.1667,1,λαοσ,1,λαοσ
Luke,Luke 1:21,21,Mark,Mark 5:20-5:21,169,2,0.0603,0.0275,0.04,0.0417,0.0,0.0,1,0.1667,1,εθαυμαζον,1,εθαυμαζον
Luke,Luke 1:21,21,Mark,Mark 5:19-5:20,168,2,0.0581,0.0242,0.0357,0.0357,0.0,0.0,1,0.1667,1,εθαυμαζον,1,εθαυμαζον
Luke,Luke 1:21,21,Mark,Mark 7:6-7:7,254,2,0.0577,0.0235,0.0357,0.0357,0.0,0.0,1,0.1667,1,λαοσ,1,λαοσ
Luke,Luke 1:22,22,Mark,Mark 14:44-14:44,579,1,0.0828,0.0632,0.1,0.1,0.0,0.0,2,0.2,1,αυτοισ,2,αυτοισ αυτοσ
Luke,Luke 1:22,22,Mark,Mark 2:25-2:25,70,1,0.0773,0.061,0.0952,0.0952,0.0,0.0,2,0.1818,1,αυτοισ,2,αυτοισ αυτοσ
Luke,Luke 1:22,22,Mark,Mark 8:29-8:30,313,2,0.0667,0.0547,0.0833,0.0833,0.0,0.0,2,0.1538,1,αυτοισ,2,αυτοισ αυτοσ
Luke,Luke 1:22,22,Mark,Mark 3:12-3:13,85,2,0.0666,0.0543,0.0833,0.0833,0.0,0.0,2,0.1538,1,αυτοισ,2,αυτοισ αυτοσ
Luke,Luke 1:22,22,Mark,Mark 6:46-6:47,238,2,0.0652,0.0517,0.08,0.08,0.0,0.0,2,0.1538,1,αυτοισ,2,αυτοισ αυτοσ
Luke,Luke 1:23,23,Mark,Mark 8:13-8:13,297,1,0.1813,0.1363,0.1538,0.1538,0.1538,0.0,2,0.3333,2,απηλθεν εισ,2,απηλθεν εισ
Luke,Luke 1:23,23,Mark,Mark 6:46-6:46,238,1,0.1813,0.1363,0.1538,0.1538,0.1538,0.0,2,0.3333,2,απηλθεν εισ,2,απηλθεν εισ
Luke,Luke 1:23,23,Mark,Mark 8:26-8:26,310,1,0.1671,0.1353,0.1538,0.1538,0.1429,0.0,2,0.2857,2,εισ οικον,2,εισ οικον
Luke,Luke 1:23,23,Mark,Mark 2:11-2:11,56,1,0.1624,0.1273,0.1429,0.1429,0.1429,0.0,2,0.2857,2,εισ οικον,2,εισ οικον
Luke,Luke 1:23,23,Mark,Mark 7:17-7:17,264,1,0.1475,0.1198,0.1333,0.1333,0.1333,0.0,2,0.25,2,εισ οικον,2,εισ οικον
Luke,Luke 1:24,24,Mark,Mark 13:2-13:2,500,1,0.1049,0.0841,0.0909,0.0952,0.0909,0.0,2,0.1818,2,ταυτασ τασ,2,τασ ταυτασ
Luke,Luke 1:24,24,Mark,Mark 13:20-13:20,518,1,0.1037,0.0813,0.0952,0.0952,0.0833,0.0,2,0.1818,2,τασ ημερασ,2,ημερασ τασ
Luke,Luke 1:24,24,Mark,Mark 13:20-13:21,518,2,0.0893,0.0606,0.0714,0.0714,0.0625,0.0,2,0.1818,2,τασ ημερασ,2,ημερασ τασ
Luke,Luke 1:24,24,Mark,Mark 13:1-13:2,499,2,0.0858,0.056,0.0625,0.0645,0.0606,0.0,2,0.1818,2,ταυτασ τασ,2,τασ ταυτασ
Luke,Luke 1:24,24,Mark,Mark 13:2-13:3,500,2,0.0827,0.0518,0.0571,0.0588,0.0571,0.0,2,0.1818,2,ταυτασ τασ,2,τασ ταυτασ
Luke,Luke 1:25,25,Mark,Mark 5:19-5:19,168,1,0.069,0.0619,0.0909,0.0909,0.0,0.0,1,0.1111,1,πεποιηκεν,2,κυριοσ πεποιηκεν
Luke,Luke 1:25,25,Mark,Mark 14:59-14:59,594,1,0.0988,0.0531,0.0833,0.0833,0.0,0.0,1,0.25,1,ουτωσ,1,ουτωσ
Luke,Luke 1:25,25,Mark,Mark 5:18-5:19,167,2,0.0613,0.0495,0.0741,0.0741,0.0,0.0,1,0.1111,1,πεποιηκεν,2,κυριοσ πεποιηκεν
Luke,Luke 1:25,25,Mark,Mark 2:28-2:28,73,1,0.0731,0.047,0.0714,0.0714,0.0,0.0,1,0.1667,1,κυριοσ,1,κυριοσ
Luke,Luke 1:25,25,Mark,Mark 13:17-13:17,515,1,0.0572,0.0461,0.0667,0.0667,0.0,0.0,1,0.1111,1,ημεραισ,1,ημεραισ
Luke,Luke 1:26,26,Mark,Mark 1:28-1:28,28,1,0.1703,0.139,0.1765,0.1765,0.1111,0.0,3,0.3333,2,τησ γαλιλαιασ,3,γαλιλαιασ εισ τησ
Luke,Luke 1:26,26,Mark,Mark 7:31-7:31,278,1,0.1459,0.1236,0.1579,0.1579,0.0952,0.0,3,0.2727,2,τησ γαλιλαιασ,3,γαλιλαιασ εισ τησ
Luke,Luke 1:26,26,Mark,Mark 1:9-1:9,9,1,0.1253,0.1137,0.1429,0.1429,0.0909,0.0,2,0.1818,2,τησ γαλιλαιασ,3,γαλιλαιασ εισ τησ
Luke,Luke 1:26,26,Mark,Mark 9:30-9:30,352,1,0.1371,0.1042,0.1176,0.1176,0.1176,0.0,2,0.25,2,τησ γαλιλαιασ,2,γαλιλαιασ τησ
Luke,Luke 1:26,26,Mark,Mark 14:16-14:16,551,1,0.1167,0.0941,0.1053,0.1053,0.1053,0.0,2,0.2,2,εισ πολιν,2,εισ πολιν
Luke,Luke 1:27,27,Mark,Mark 16:3-16:3,656,1,0.0928,0.0707,0.1111,0.1176,0.0,0.0,2,0.2222,1,προσ,2,προσ τησ
Luke,Luke 1:27,27,Mark,Mark 5:9-5:11,158,3,0.0927,0.0688,0.1071,0.1111,0.0,0.0,3,0.25,1,προσ,3,ονομα προσ τησ
Luke,Luke 1:27,27,Mark,Mark 10:1-10:2,371,2,0.0776,0.0655,0.1,0.1034,0.0,0.0,2,0.1667,1,προσ,3,ανδρι προσ τησ
Luke,Luke 1:27,27,Mark,Mark 3:7-3:7,80,1,0.0768,0.0653,0.1,0.1053,0.0,0.0,2,0.1667,1,προσ,2,προσ τησ
Luke,Luke 1:27,27,Mark,Mark 9:20-9:20,342,1,0.0797,0.0643,0.1,0.1053,0.0,0.0,2,0.1818,1,προσ,2,προσ τησ
Luke,Luke 1:28,28,Mark,Mark 9:16-9:16,338,1,0.0975,0.0721,0.1111,0.1111,0.0,0.0,1,0.2,1,προσ,1,προσ
Luke,Luke 1:28,28,Mark,Mark 15:18-15:18,625,1,0.0958,0.0699,0.1,0.1,0.0,0.0,1,0.2,1,χαιρε,1,χαιρε
Luke,Luke 1:28,28,Mark,Mark 5:19-5:19,168,1,0.1126,0.067,0.1053,0.1053,0.0,0.0,2,0.3333,1,προσ,2,κυριοσ προσ
Luke,Luke 1:28,28,Mark,Mark 8:16-8:16,300,1,0.0927,0.0638,0.1,0.1,0.0,0.0,1,0.2,1,προσ,1,προσ
Luke,Luke 1:28,28,Mark,Mark 10:50-10:50,420,1,0.0926,0.0635,0.1,0.1,0.0,0.0,1,0.2,1,προσ,1,προσ
Luke,Luke 1:29,29,Mark,Mark 6:16-6:16,208,1,0.0776,0.054,0.0833,0.0833,0.0,0.0,1,0.1667,1,ουτοσ,1,ουτοσ
Luke,Luke 1:29,29,Mark,Mark 12:13-12:13,467,1,0.0701,0.0529,0.0769,0.0769,0.0,0.0,1,0.1429,1,λογω,1,λογω
Luke,Luke 1:29,29,Mark,Mark 10:22-10:22,392,1,0.0701,0.0528,0.0769,0.0769,0.0,0.0,1,0.1429,1,λογω,1,λογω
Luke,Luke 1:29,29,Mark,Mark 3:35-3:35,108,1,0.0666,0.0467,0.0714,0.0714,0.0,0.0,1,0.1429,1,ουτοσ,1,ουτοσ
Luke,Luke 1:29,29,Mark,Mark 14:69-14:69,604,1,0.0666,0.0466,0.0714,0.0714,0.0,0.0,1,0.1429,1,ουτοσ,1,ουτοσ
Luke,Luke 1:30,30,Mark,Mark 5:36-5:36,185,1,0.0762,0.0521,0.0769,0.0769,0.0,0.0,1,0.1667,1,φοβου,1,φοβου
Luke,Luke 1:30,30,Mark,Mark 10:27-10:27,397,1,0.0763,0.0517,0.0769,0.0769,0.0,0.0,1,0.1667,1,θεω,1,θεω
Luke,Luke 1:30,30,Mark,Mark 12:17-12:17,471,1,0.0739,0.0485,0.0714,0.0714,0.0,0.0,1,0.1667,1,θεω,1,θεω
Luke,Luke 1:30,30,Mark,Mark 12:16-12:17,470,2,0.0653,0.0344,0.0526,0.0526,0.0,0.0,1,0.1667,1,θεω,1,θεω
Luke,Luke 1:30,30,Mark,Mark 10:27-10:28,397,2,0.0632,0.0316,0.0476,0.0476,0.0,0.0,1,0.1667,1,θεω,1,θεω
Luke,Luke 1:31,31,Mark,Mark 4:3-4:3,111,1,0.0893,0.0585,0.0909,0.0909,0.0,0.0,1,0.2,1,ιδου,1,ιδου
Luke,Luke 1:31,31,Mark,Mark 14:42-14:42,577,1,0.0893,0.0584,0.0909,0.0909,0.0,0.0,1,0.2,1,ιδου,1,ιδου
Luke,Luke 1:31,31,Mark,Mark 5:9-5:9,158,1,0.0726,0.0571,0.0833,0.0833,0.0,0.0,1,0.1429,1,ονομα,1,ονομα
Luke,Luke 1:31,31,Mark,Mark 13:17-13:17,515,1,0.0707,0.0524,0.0769,0.0769,0.0,0.0,1,0.1429,1,γαστρι,1,γαστρι
Luke,Luke 1:31,31,Mark,Mark 3:16-3:16,89,1,0.0698,0.0522,0.0769,0.0769,0.0,0.0,1,0.1429,1,ονομα,1,ονομα
Luke,Luke 1:32,32,Mark,Mark 12:29-12:29,483,1,0.1084,0.0908,0.1,0.1,0.0909,0.0,2,0.1818,2,κυριοσ θεοσ,2,θεοσ κυριοσ
