pericope_id,unit_type,pair,block_id,block_label,matthew_range,mark_range,luke_range,john_range,pair_count,avg_score,evidence_origin,methodological_status,representative_primary_pairs,shared_features
Mark_Luke_block_loose_014,computational_synoptic_block,Mark↔Luke,loose_014,Mark 6:30–Mark 6:30 / Luke 9:10–Luke 9:10,,Mark 6:30–Mark 6:30,Luke 9:10–Luke 9:10,,1,0.24,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 6:30~Luke 9:10,
Mark_Luke_block_loose_015,computational_synoptic_block,Mark↔Luke,loose_015,Mark 6:37–Mark 6:42 / Luke 9:13–Luke 9:17,,Mark 6:37–Mark 6:42,Luke 9:13–Luke 9:17,,3,0.3785,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 6:37~Luke 9:13; Mark 6:41~Luke 9:16; Mark 6:42~Luke 9:17,
Mark_Luke_block_loose_016,computational_synoptic_block,Mark↔Luke,loose_016,Mark 8:28–Mark 9:7 / Luke 9:19–Luke 9:35,,Mark 8:28–Mark 9:7,Luke 9:19–Luke 9:35,,11,0.4595,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 8:28~Luke 9:19; Mark 8:29~Luke 9:20; Mark 8:30~Luke 9:21; Mark 8:31~Luke 9:22; Mark 8:34~Luke 9:23,
Mark_Luke_block_loose_017,computational_synoptic_block,Mark↔Luke,loose_017,Mark 9:19–Mark 9:19 / Luke 9:41–Luke 9:41,,Mark 9:19–Mark 9:19,Luke 9:41–Luke 9:41,,1,0.3995,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 9:19~Luke 9:41,
Mark_Luke_block_loose_018,computational_synoptic_block,Mark↔Luke,loose_018,Mark 9:31–Mark 9:40 / Luke 9:44–Luke 9:50,,Mark 9:31–Mark 9:40,Luke 9:44–Luke 9:50,,5,0.4112,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 9:31~Luke 9:44; Mark 9:32~Luke 9:45; Mark 9:37~Luke 9:48; Mark 9:38~Luke 9:49; Mark 9:40~Luke 9:50,
Mark_Luke_block_loose_019,computational_synoptic_block,Mark↔Luke,loose_019,Mark 9:50–Mark 10:5 / Luke 14:34–Luke 15:3,,Mark 9:50–Mark 10:5,Luke 14:34–Luke 15:3,,2,0.2483,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 9:50~Luke 14:34; Mark 10:5~Luke 15:3,
Mark_Luke_block_loose_020,computational_synoptic_block,Mark↔Luke,loose_020,Mark 10:8–Mark 10:8 / Luke 17:35–Luke 17:35,,Mark 10:8–Mark 10:8,Luke 17:35–Luke 17:35,,1,0.2058,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 10:8~Luke 17:35,
Mark_Luke_block_loose_021,computational_synoptic_block,Mark↔Luke,loose_021,Mark 10:13–Mark 10:33 / Luke 18:15–Luke 18:32,,Mark 10:13–Mark 10:33,Luke 18:15–Luke 18:32,,16,0.4798,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 10:13~Luke 18:15; Mark 10:14~Luke 18:16; Mark 10:15~Luke 18:17; Mark 10:17~Luke 18:18; Mark 10:18~Luke 18:19,
Mark_Luke_block_loose_022,computational_synoptic_block,Mark↔Luke,loose_022,Mark 10:46–Mark 10:52 / Luke 18:35–Luke 18:42,,Mark 10:46–Mark 10:52,Luke 18:35–Luke 18:42,,5,0.3917,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 10:46~Luke 18:35; Mark 10:47~Luke 18:38; Mark 10:48~Luke 18:39; Mark 10:51~Luke 18:41; Mark 10:52~Luke 18:42,
Mark_Luke_block_loose_023,computational_synoptic_block,Mark↔Luke,loose_023,Mark 11:1–Mark 11:18 / Luke 19:29–Luke 19:47,,Mark 11:1–Mark 11:18,Luke 19:29–Luke 19:47,,9,0.3462,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 11:1~Luke 19:29; Mark 11:2~Luke 19:30; Mark 11:3~Luke 19:34; Mark 11:7~Luke 19:35; Mark 11:9~Luke 19:38,
Mark_Luke_block_loose_024,computational_synoptic_block,Mark↔Luke,loose_024,Mark 11:28–Mark 12:27 / Luke 20:2–Luke 20:38,,Mark 11:28–Mark 12:27,Luke 20:2–Luke 20:38,,22,0.4309,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 11:28~Luke 20:2; Mark 11:30~Luke 20:4; Mark 11:31~Luke 20:5; Mark 11:33~Luke 20:8; Mark 12:1~Luke 20:9,
Mark_Luke_block_loose_025,computational_synoptic_block,Mark↔Luke,loose_025,Mark 12:35–Mark 13:17 / Luke 20:41–Luke 21:23,,Mark 12:35–Mark 13:17,Luke 20:41–Luke 21:23,,15,0.4548,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 12:35~Luke 20:41; Mark 12:36~Luke 20:43; Mark 12:37~Luke 20:44; Mark 12:39~Luke 20:46; Mark 12:40~Luke 20:47,
Mark_Luke_block_loose_026,computational_synoptic_block,Mark↔Luke,loose_026,Mark 13:26–Mark 13:31 / Luke 21:27–Luke 21:33,,Mark 13:26–Mark 13:31,Luke 21:27–Luke 21:33,,5,0.6858,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 13:26~Luke 21:27; Mark 13:28~Luke 21:30; Mark 13:29~Luke 21:31; Mark 13:30~Luke 21:32; Mark 13:31~Luke 21:33,
Mark_Luke_block_loose_027,computational_synoptic_block,Mark↔Luke,loose_027,Mark 14:1–Mark 14:1 / Luke 22:2–Luke 22:2,,Mark 14:1–Mark 14:1,Luke 22:2–Luke 22:2,,1,0.3728,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:1~Luke 22:2,
Mark_Luke_block_loose_028,computational_synoptic_block,Mark↔Luke,loose_028,Mark 14:11–Mark 14:16 / Luke 22:5–Luke 22:13,,Mark 14:11–Mark 14:16,Luke 22:5–Luke 22:13,,6,0.4871,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:11~Luke 22:5; Mark 14:12~Luke 22:9; Mark 14:13~Luke 22:10; Mark 14:14~Luke 22:11; Mark 14:15~Luke 22:12,
Mark_Luke_block_loose_029,computational_synoptic_block,Mark↔Luke,loose_029,Mark 14:22–Mark 14:22 / Luke 22:19–Luke 22:19,,Mark 14:22–Mark 14:22,Luke 22:19–Luke 22:19,,1,0.446,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:22~Luke 22:19,
Mark_Luke_block_loose_030,computational_synoptic_block,Mark↔Luke,loose_030,Mark 14:26–Mark 14:26 / Luke 22:39–Luke 22:39,,Mark 14:26–Mark 14:26,Luke 22:39–Luke 22:39,,1,0.3577,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:26~Luke 22:39,
Mark_Luke_block_loose_031,computational_synoptic_block,Mark↔Luke,loose_031,Mark 14:36–Mark 14:48 / Luke 22:42–Luke 22:52,,Mark 14:36–Mark 14:48,Luke 22:42–Luke 22:52,,5,0.2971,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,Mark 14:36~Luke 22:42; Mark 14:38~Luke 22:46; Mark 14:43~Luke 22:47; Mark 14:47~Luke 22:50; Mark 14:48~Luke 22:52,
