pericope_id,unit_type,pair,block_id,block_label,matthew_range,mark_range,luke_range,john_range,pair_count,avg_score,evidence_origin,methodological_status,representative_primary_pairs,shared_features
Matthew_Luke_block_11,computational_synoptic_block,Matthew↔Luke,11,Matt 10:22–Matt 10:22 / Luke 6:22–Luke 6:22,Matt 10:22–Matt 10:22,,Luke 6:22–Luke 6:22,,1,0.139921,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_12,computational_synoptic_block,Matthew↔Luke,12,Matt 10:24–Matt 10:24 / Luke 6:40–Luke 6:40,Matt 10:24–Matt 10:24,,Luke 6:40–Luke 6:40,,1,0.508187,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_13,computational_synoptic_block,Matthew↔Luke,13,Matt 11:2–Matt 11:19 / Luke 7:18–Luke 7:34,Matt 11:2–Matt 11:19,,Luke 7:18–Luke 7:34,,13,0.572213,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_14,computational_synoptic_block,Matthew↔Luke,14,Matt 12:4–Matt 12:4 / Luke 7:36–Luke 7:36,Matt 12:4–Matt 12:4,,Luke 7:36–Luke 7:36,,1,0.177348,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_15,computational_synoptic_block,Matthew↔Luke,15,Matt 12:31–Matt 13:23 / Luke 7:47–Luke 8:15,Matt 12:31–Matt 13:23,,Luke 7:47–Luke 8:15,,15,0.22885,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_16,computational_synoptic_block,Matthew↔Luke,16,Matt 13:37–Matt 13:37 / Luke 8:21–Luke 8:21,Matt 13:37–Matt 13:37,,Luke 8:21–Luke 8:21,,1,0.121777,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_17,computational_synoptic_block,Matthew↔Luke,17,Matt 13:51–Matt 13:51 / Luke 8:45–Luke 8:45,Matt 13:51–Matt 13:51,,Luke 8:45–Luke 8:45,,1,0.131545,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_18,computational_synoptic_block,Matthew↔Luke,18,Matt 14:1–Matt 14:20 / Luke 9:7–Luke 9:17,Matt 14:1–Matt 14:20,,Luke 9:7–Luke 9:17,,6,0.312689,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_19,computational_synoptic_block,Matthew↔Luke,19,Matt 15:10–Matt 15:10 / Luke 9:18–Luke 9:18,Matt 15:10–Matt 15:10,,Luke 9:18–Luke 9:18,,1,0.132575,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_2,computational_synoptic_block,Matthew↔Luke,2,Matt 1:23–Matt 1:25 / Luke 1:27–Luke 1:31,Matt 1:23–Matt 1:25,,Luke 1:27–Luke 1:31,,2,0.376184,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_20,computational_synoptic_block,Matthew↔Luke,20,Matt 16:14–Matt 18:5 / Luke 9:19–Luke 9:48,Matt 16:14–Matt 18:5,,Luke 9:19–Luke 9:48,,21,0.396067,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_21,computational_synoptic_block,Matthew↔Luke,21,Matt 18:10–Matt 18:13 / Luke 15:3–Luke 15:7,Matt 18:10–Matt 18:13,,Luke 15:3–Luke 15:7,,3,0.190414,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_22,computational_synoptic_block,Matthew↔Luke,22,Matt 18:14–Matt 18:33 / Luke 17:2–Luke 17:13,Matt 18:14–Matt 18:33,,Luke 17:2–Luke 17:13,,4,0.188362,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_23,computational_synoptic_block,Matthew↔Luke,23,Matt 19:5–Matt 19:6 / Luke 17:34–Luke 17:35,Matt 19:5–Matt 19:6,,Luke 17:34–Luke 17:35,,2,0.137583,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_24,computational_synoptic_block,Matthew↔Luke,24,Matt 19:13–Matt 19:29 / Luke 18:15–Luke 18:29,Matt 19:13–Matt 19:29,,Luke 18:15–Luke 18:29,,13,0.317064,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_25,computational_synoptic_block,Matthew↔Luke,25,Matt 20:18–Matt 20:34 / Luke 18:31–Luke 18:43,Matt 20:18–Matt 20:34,,Luke 18:31–Luke 18:43,,6,0.252396,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_26,computational_synoptic_block,Matthew↔Luke,26,Matt 21:1–Matt 21:45 / Luke 19:29–Luke 20:19,Matt 21:1–Matt 21:45,,Luke 19:29–Luke 20:19,,24,0.361107,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_27,computational_synoptic_block,Matthew↔Luke,27,Matt 22:16–Matt 23:19 / Luke 20:21–Luke 21:1,Matt 22:16–Matt 23:19,,Luke 20:21–Luke 21:1,,18,0.357389,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_28,computational_synoptic_block,Matthew↔Luke,28,Matt 24:2–Matt 24:35 / Luke 21:6–Luke 21:33,Matt 24:2–Matt 24:35,,Luke 21:6–Luke 21:33,,14,0.517871,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_29,computational_synoptic_block,Matthew↔Luke,29,Matt 26:3–Matt 26:29 / Luke 22:2–Luke 22:18,Matt 26:3–Matt 26:29,,Luke 22:2–Luke 22:18,,10,0.285976,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_3,computational_synoptic_block,Matthew↔Luke,3,Matt 2:10–Matt 2:10 / Luke 2:10–Luke 2:10,Matt 2:10–Matt 2:10,,Luke 2:10–Luke 2:10,,1,0.180106,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_30,computational_synoptic_block,Matthew↔Luke,30,Matt 26:30–Matt 28:8 / Luke 22:39–Luke 24:12,Matt 26:30–Matt 28:8,,Luke 22:39–Luke 24:12,,32,0.282191,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_31,computational_synoptic_block,Matthew↔Luke,31,Matt 28:16–Matt 28:16 / Luke 24:28–Luke 24:28,Matt 28:16–Matt 28:16,,Luke 24:28–Luke 24:28,,1,0.122325,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_32,computational_synoptic_block,Matthew↔Luke,32,Matt 28:19–Matt 28:20 / Luke 24:47–Luke 24:53,Matt 28:19–Matt 28:20,,Luke 24:47–Luke 24:53,,2,0.130623,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_4,computational_synoptic_block,Matthew↔Luke,4,Matt 3:3–Matt 3:17 / Luke 3:4–Luke 3:22,Matt 3:3–Matt 3:17,,Luke 3:4–Luke 3:22,,8,0.609856,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_5,computational_synoptic_block,Matthew↔Luke,5,Matt 4:1–Matt 4:7 / Luke 4:1–Luke 4:12,Matt 4:1–Matt 4:7,,Luke 4:1–Luke 4:12,,7,0.404949,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_6,computational_synoptic_block,Matthew↔Luke,6,Matt 4:23–Matt 4:23 / Luke 4:15–Luke 4:15,Matt 4:23–Matt 4:23,,Luke 4:15–Luke 4:15,,1,0.237035,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_7,computational_synoptic_block,Matthew↔Luke,7,Matt 7:28–Matt 7:28 / Luke 4:32–Luke 4:32,Matt 7:28–Matt 7:28,,Luke 4:32–Luke 4:32,,1,0.276903,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_8,computational_synoptic_block,Matthew↔Luke,8,Matt 8:2–Matt 8:4 / Luke 5:12–Luke 5:14,Matt 8:2–Matt 8:4,,Luke 5:12–Luke 5:14,,3,0.566925,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
Matthew_Luke_block_9,computational_synoptic_block,Matthew↔Luke,9,Matt 9:2–Matt 9:17 / Luke 5:20–Luke 5:37,Matt 9:2–Matt 9:17,,Luke 5:20–Luke 5:37,,15,0.395373,primary_chain_block_from_prior_packages,computed alignment block; not a traditional hand-curated pericope title,,
john_anchor_john_baptist_witness_spirit_descends,john_synoptic_anchor,John↔Synoptics,john_baptist_witness_spirit_descends,john baptist witness spirit descends,Matt 3:13-17,Mark 1:9-11,Luke 3:21-22,John 1:29-34,3,0.19766666666666666,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,Baptist setting; Spirit descends; Jesus identified by divine sign
john_anchor_temple_action_relocated,john_synoptic_anchor,John↔Synoptics,temple_action_relocated,temple action relocated,Matt 21:12-17,Mark 11:15-19,Luke 19:45-48,John 2:13-22,3,0.16183333333333333,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,Temple action; sellers/money-changers; challenge around temple authority
john_anchor_prophet_no_honor,john_synoptic_anchor,John↔Synoptics,prophet_no_honor,prophet no honor,Matt 13:57,Mark 6:4,Luke 4:24,John 4:44,3,0.13333333333333333,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,A prophet lacks honor in his own homeland/country
john_anchor_feeding_5000,john_synoptic_anchor,John↔Synoptics,feeding_5000,feeding 5000,Matt 14:13-21,Mark 6:30-44,Luke 9:10-17,John 6:1-15,3,0.171,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,five thousand; loaves; distribution; leftover baskets; wilderness/sea setting
john_anchor_walking_on_water,john_synoptic_anchor,John↔Synoptics,walking_on_water,walking on water,Matt 14:22-33,Mark 6:45-52,,John 6:16-21,2,0.42184999999999995,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,disciples at sea; Jesus walks on sea; fear; arrival/boat motif
john_anchor_anointing_bethany,john_synoptic_anchor,John↔Synoptics,anointing_bethany,anointing bethany,Matt 26:6-13,Mark 14:3-9,Luke 7:36-50,John 12:1-8,3,0.5263333333333332,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,woman/anointing; costly ointment; objection over value; Jesus interprets action
john_anchor_triumphal_entry,john_synoptic_anchor,John↔Synoptics,triumphal_entry,triumphal entry,Matt 21:1-11,Mark 11:1-10,Luke 19:28-40,John 12:12-19,3,0.29116666666666663,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,entry to Jerusalem; branches/garments; Hosanna/blessed coming one; king motif
john_anchor_peter_denial,john_synoptic_anchor,John↔Synoptics,peter_denial,peter denial,Matt 26:69-75,Mark 14:66-72,Luke 22:54-62,John 18:15-27,3,0.2814666666666667,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,Peter denies three times; courtyard/fire setting; cock crow motif
john_anchor_sword_ear_arrest,john_synoptic_anchor,John↔Synoptics,sword_ear_arrest,sword ear arrest,Matt 26:51-52,Mark 14:47,Luke 22:49-51,John 18:10-11,3,0.17493333333333336,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,sword blow; servant of high priest; ear cut off
john_anchor_garment_division_scripture,john_synoptic_anchor,John↔Synoptics,garment_division_scripture,garment division scripture,Matt 27:35,Mark 15:24,Luke 23:34,John 19:23-24,3,0.09386666666666667,curated John/Synoptic anchor registry plus pairwise lexical metrics,anchor-level; not monotonic chain,,division of garments; casting lots; scriptural frame
