source_book,source_ref,source_idx,target_book,target_ref,target_idx,source_token_count,target_token_count,score,token_jaccard,stem_jaccard,bigram_dice,trigram_dice,weighted_jaccard,lcs_len,lcs_ratio,max_exact_run_len,max_exact_run,shared_content_token_count,shared_content_tokens,source_text_critical_status,lemma_jaccard,lemma_bigram_dice,lemma_trigram_dice,lemma_lcs_len,lemma_lcs_ratio,lemma_max_exact_run_len,lemma_max_exact_run,lemma_shared_content_token_count,lemma_shared_content_tokens,lemma_score,lemma_minus_surface_score
Mark,Mark 4:18,126,Luke,Luke 8:21,373,10,10,0.2159,0.1875,0.1875,0.2222,0.125,0.1795,3,0.3,3,ουτοι εισιν λογον,3,εισιν λογον ουτοι,main_text,0.25,0.1429,0.0,3,0.4286,2,ειμι λογοσ,3,ακουω ειμι λογοσ,0.2448,0.0289
Mark,Mark 11:22,444,Luke,Luke 3:11,143,5,11,0.0665,0.1538,0.1538,0.0,0.0,0.0998,0,0.0,0,,2,αποκριθεισ αυτοισ,main_text,0.2308,0.125,0.0,3,0.5,2,λεγω εχω,3,αποκρινομαι εχω λεγω,0.2448,0.1783
Mark,Mark 9:40,362,Luke,Luke 22:53,1023,4,15,0.0551,0.125,0.125,0.0,0.0,0.1019,0,0.0,0,,2,εστιν καθ,main_text,0.2222,0.0,0.0,2,0.6667,1,ου,2,ειμι ου,0.2444,0.1893
Mark,Mark 4:26,134,Luke,Luke 18:29,823,9,15,0.0391,0.0909,0.0909,0.0,0.0,0.0548,0,0.0,0,,2,εστιν τησ,main_text,0.25,0.1053,0.0,4,0.4444,2,βασιλεια θεοσ,4,βασιλεια ειμι θεοσ λεγω,0.2442,0.2051
Mark,Mark 10:51,421,Luke,Luke 5:31,245,9,11,0.051,0.1176,0.1176,0.0,0.0,0.0787,0,0.0,0,,2,αποκριθεισ ιησουσ,main_text,0.2143,0.2353,0.1333,3,0.3333,3,αποκρινομαι ιησουσ λεγω,3,αποκρινομαι ιησουσ λεγω,0.2441,0.1931
Mark,Mark 3:22,95,Luke,Luke 11:19,531,10,8,0.0587,0.125,0.1429,0.0,0.0,0.1208,0,0.0,0,,2,βεελζεβουλ δαιμονια,main_text,0.25,0.1333,0.0,3,0.4286,2,εκβαλλω δαιμονιον,3,βεελζεβουλ δαιμονιον εκβαλλω,0.243,0.1843
Mark,Mark 1:17,17,Luke,Luke 20:8,893,9,8,0.0573,0.1333,0.1333,0.0,0.0,0.0788,0,0.0,0,,2,αυτοισ ιησουσ,main_text,0.3333,0.0,0.0,2,0.3333,1,λεγω,3,ιησουσ λεγω ποιεω,0.2429,0.1856
Mark,Mark 1:27,27,Luke,Luke 8:25,377,20,18,0.1572,0.1935,0.1935,0.0556,0.0,0.1504,6,0.3333,2,υπακουουσιν αυτω,6,αυτω επιτασσει εστιν προσ τοισ υπακουουσιν,main_text,0.2632,0.087,0.0,5,0.4167,2,λεγω ειμι,5,ειμι επιτασσω και λεγω υπακουω,0.2427,0.0855
Mark,Mark 14:30,565,Luke,Luke 23:43,1083,13,8,0.2691,0.2353,0.2353,0.2105,0.1176,0.1727,4,0.5,3,αμην λεγω σημερον,4,αμην αυτω λεγω σημερον,main_text,0.1818,0.1538,0.0,3,0.6,2,λεγω σημερον,2,λεγω σημερον,0.2426,-0.0265
Mark,Mark 1:40,40,Luke,Luke 5:12,226,9,16,0.1903,0.1364,0.1364,0.1739,0.0952,0.1615,3,0.3333,3,θελησ δυνασαι καθαρισαι,3,δυνασαι θελησ καθαρισαι,main_text,0.1905,0.1739,0.0952,4,0.5,3,θελω δυναμαι καθαριζω,4,δυναμαι θελω καθαριζω λεγω,0.2425,0.0522
Mark,Mark 7:17,264,Luke,Luke 1:40,40,8,6,0.3314,0.2727,0.2727,0.3333,0.2,0.2135,3,0.5,3,εισηλθεν εισ οικον,3,εισ εισηλθεν οικον,main_text,0.2222,0.2222,0.0,2,0.4,2,εισερχομαι οικοσ,2,εισερχομαι οικοσ,0.2422,-0.0892
Mark,Mark 9:23,345,Luke,Luke 18:42,836,5,5,0.2558,0.25,0.25,0.25,0.0,0.1163,2,0.4,2,ιησουσ αυτω,2,αυτω ιησουσ,main_text,0.2222,0.2222,0.0,2,0.4,2,ιησουσ λεγω,2,ιησουσ λεγω,0.2422,-0.0136
Mark,Mark 3:14,87,Luke,Luke 9:2,410,7,7,0.1791,0.1667,0.1667,0.1667,0.0,0.1537,2,0.2857,2,αυτουσ κηρυσσειν,2,αυτουσ κηρυσσειν,main_text,0.2222,0.2222,0.0,2,0.4,2,αποστελλω κηρυσσω,2,αποστελλω κηρυσσω,0.2422,0.0631
Mark,Mark 13:5,503,Luke,Luke 4:21,191,8,9,0.1497,0.1333,0.1333,0.1333,0.0,0.1446,2,0.25,2,ηρξατο λεγειν,2,ηρξατο λεγειν,main_text,0.2222,0.2222,0.0,2,0.4,2,αρχω λεγω,2,αρχω λεγω,0.2422,0.0925
Mark,Mark 9:10,332,Luke,Luke 22:23,993,8,10,0.1424,0.125,0.125,0.125,0.0,0.0971,2,0.25,2,προσ εαυτουσ,2,εαυτουσ προσ,main_text,0.2222,0.2222,0.0,2,0.4,2,συζητεω ειμι,2,ειμι συζητεω,0.2422,0.0998
Mark,Mark 9:1,323,Luke,Luke 13:35,660,15,12,0.0348,0.08,0.08,0.0,0.0,0.0569,0,0.0,0,,2,εωσ λεγω,main_text,0.2632,0.0833,0.0,5,0.4167,2,ου μη,5,ερχομαι λεγω μη οραω ου,0.2421,0.2073
Mark,Mark 14:16,551,Luke,Luke 19:32,869,10,5,0.3405,0.25,0.25,0.3077,0.1818,0.2148,3,0.6,3,ευρον καθωσ αυτοισ,3,αυτοισ ευρον καθωσ,main_text,0.2,0.2,0.0,2,0.5,2,ευρισκω λεγω,2,ευρισκω λεγω,0.241,-0.0995
Mark,Mark 8:38,322,Luke,Luke 12:8,574,18,13,0.1452,0.1538,0.1667,0.069,0.0,0.1288,4,0.3077,2,υιοσ ανθρωπου,4,αγγελων ανθρωπου οσ υιοσ,main_text,0.2222,0.1739,0.0952,4,0.4,3,και υιοσ ανθρωποσ,4,αγγελοσ ανθρωποσ και υιοσ,0.2402,0.095
Mark,Mark 8:18,302,Luke,Luke 10:24,494,7,12,0.0574,0.125,0.1333,0.0,0.0,0.1229,0,0.0,0,,2,ακουετε βλεπετε,main_text,0.2308,0.1905,0.0,4,0.4,2,ου ακουω,3,ακουω βλεπω ου,0.2399,0.1825
Mark,Mark 9:31,353,Luke,Luke 18:33,827,15,5,0.0525,0.1111,0.1176,0.0,0.0,0.1409,0,0.0,0,,2,αναστησεται αποκτενουσιν,main_text,0.2308,0.0,0.0,3,0.6,1,αποκτεινω,3,ανιστημι αποκτεινω ημερα,0.2396,0.1871
Mark,Mark 3:33,106,Luke,Luke 18:29,823,6,15,0.0453,0.1053,0.1053,0.0,0.0,0.0647,0,0.0,0,,2,αυτοισ εστιν,main_text,0.2308,0.0,0.0,3,0.6,1,λεγω,3,αδελφοσ ειμι λεγω,0.2396,0.1943
Mark,Mark 15:39,645,Luke,Luke 23:47,1087,10,9,0.1262,0.1875,0.1875,0.0,0.0,0.1343,2,0.2222,1,ιδων,3,ανθρωποσ ιδων ουτοσ,main_text,0.2941,0.0,0.0,4,0.4,1,οραω,5,ανθρωποσ ειμι θεοσ λεγω οραω,0.2393,0.1131
Mark,Mark 3:32,105,Luke,Luke 8:19,371,9,8,0.1978,0.2143,0.3077,0.1333,0.0,0.1786,2,0.25,2,μητηρ αδελφοι,3,αδελφοι αυτω μητηρ,main_text,0.2727,0.1667,0.0,2,0.2857,2,μητηρ αδελφοσ,3,αδελφοσ μητηρ οχλοσ,0.2391,0.0413
Mark,Mark 8:29,313,Luke,Luke 22:70,1040,10,9,0.1799,0.1875,0.1875,0.1176,0.0,0.1838,3,0.3333,2,υμεισ λεγετε,3,αυτουσ λεγετε υμεισ,main_text,0.2,0.1429,0.0,4,0.5,2,λεγω ειμι,2,ειμι λεγω,0.239,0.0591
Mark,Mark 10:24,394,Luke,Luke 9:62,470,14,12,0.0889,0.1304,0.1304,0.0,0.0,0.0683,2,0.1667,1,ιησουσ,3,εισ εστιν ιησουσ,main_text,0.2381,0.1667,0.0909,4,0.3333,3,ειμι βασιλεια θεοσ,5,βασιλεια ειμι θεοσ ιησουσ λεγω,0.2385,0.1496
Mark,Mark 14:48,583,Luke,Luke 4:12,182,9,7,0.0618,0.1429,0.1429,0.0,0.0,0.094,0,0.0,0,,2,αποκριθεισ ιησουσ,main_text,0.25,0.1429,0.0,3,0.375,2,ιησουσ λεγω,3,αποκρινομαι ιησουσ λεγω,0.2382,0.1764
Mark,Mark 4:21,129,Luke,Luke 11:33,545,9,13,0.0483,0.1053,0.1053,0.0,0.0,0.1239,0,0.0,0,,2,λυχνιαν μοδιον,main_text,0.3077,0.0,0.0,3,0.375,1,λυχνοσ,4,λυχνια λυχνοσ μοδιοσ τιθημι,0.2381,0.1898
Mark,Mark 10:3,373,Luke,Luke 13:2,627,4,12,0.2152,0.1429,0.1429,0.1429,0.0,0.0907,2,0.5,2,αποκριθεισ αυτοισ,2,αποκριθεισ αυτοισ,main_text,0.2,0.1818,0.0,2,0.5,2,αποκρινομαι λεγω,2,αποκρινομαι λεγω,0.2377,0.0225
Mark,Mark 14:69,604,Luke,Luke 7:49,351,8,10,0.1938,0.2,0.2,0.125,0.0,0.1502,3,0.375,2,ουτοσ εστιν,3,εστιν λεγειν ουτοσ,main_text,0.2727,0.0,0.0,3,0.4286,1,αρχω,3,αρχω ειμι λεγω,0.2377,0.0439
Mark,Mark 14:21,556,Luke,Luke 9:44,452,17,14,0.0842,0.0769,0.0833,0.069,0.0,0.0601,2,0.1429,2,υιοσ ανθρωπου,2,ανθρωπου υιοσ,main_text,0.2308,0.1053,0.0,4,0.4444,2,υιοσ ανθρωποσ,3,ανθρωποσ παραδιδωμι υιοσ,0.2376,0.1534
Mark,Mark 10:24,394,Luke,Luke 18:25,819,14,10,0.2283,0.2105,0.2105,0.1818,0.1,0.1549,4,0.4,3,εισ βασιλειαν εισελθειν,4,βασιλειαν εισ εισελθειν εστιν,main_text,0.2105,0.1818,0.1,4,0.4,3,βασιλεια θεοσ εισερχομαι,4,βασιλεια ειμι εισερχομαι θεοσ,0.2375,0.0092
Mark,Mark 15:4,611,Luke,Luke 23:9,1050,7,7,0.0744,0.1667,0.1667,0.0,0.0,0.1548,0,0.0,0,,2,επηρωτα ουδεν,main_text,0.3,0.0,0.0,2,0.4,1,επερωταω,3,αποκρινομαι επερωταω ουδεισ,0.2375,0.1631
Mark,Mark 8:5,289,Luke,Luke 11:5,517,7,14,0.0487,0.1111,0.1111,0.0,0.0,0.0861,0,0.0,0,,2,αρτουσ αυτουσ,main_text,0.3,0.0,0.0,2,0.4,1,εχω,3,αρτοσ εχω λεγω,0.2375,0.1888
Mark,Mark 10:38,408,Luke,Luke 23:34,1074,11,10,0.0446,0.1053,0.1053,0.0,0.0,0.0503,0,0.0,0,,2,αυτοισ ιησουσ,main_text,0.2353,0.1905,0.0,4,0.3636,2,ιησουσ λεγω,4,ιησουσ λεγω οιδα ου,0.2375,0.1929
Mark,Mark 2:17,62,Luke,Luke 15:7,702,15,15,0.0856,0.0714,0.1111,0.0714,0.0,0.0698,2,0.1333,2,χρειαν εχουσιν,2,εχουσιν χρειαν,main_text,0.2727,0.1429,0.0769,4,0.2667,3,ου χρεια εχω,6,αμαρτωλοσ δικαιοσ εχω λεγω ου χρεια,0.2374,0.1518
Mark,Mark 12:34,488,Luke,Luke 18:24,818,12,9,0.0551,0.1053,0.1667,0.0,0.0,0.0757,0,0.0,0,,2,ιδων ιησουσ,main_text,0.2632,0.0909,0.0,4,0.4,2,βασιλεια θεοσ,5,βασιλεια θεοσ ιησουσ λεγω οραω,0.2373,0.1822
Mark,Mark 14:38,573,Luke,Luke 22:40,1010,9,7,0.2236,0.2308,0.2308,0.1429,0.0,0.1963,3,0.4286,2,εισ πειρασμον,3,εισ πειρασμον προσευχεσθε,main_text,0.2308,0.1429,0.0,3,0.4286,2,προσευχομαι μη,3,μη πειρασμοσ προσευχομαι,0.2371,0.0135
Mark,Mark 14:38,573,Luke,Luke 22:46,1016,9,7,0.2234,0.2308,0.2308,0.1429,0.0,0.1938,3,0.4286,2,εισ πειρασμον,3,εισ πειρασμον προσευχεσθε,main_text,0.2308,0.1429,0.0,3,0.4286,2,προσευχομαι μη,3,μη πειρασμοσ προσευχομαι,0.2371,0.0137
Mark,Mark 5:27,176,Luke,Luke 8:44,396,7,10,0.2159,0.2143,0.2143,0.1333,0.0,0.2134,3,0.4286,2,οπισθεν ηψατο,3,ηψατο ιματιου οπισθεν,main_text,0.2308,0.1429,0.0,3,0.4286,2,οπισθεν απτω,3,απτω ιματιον οπισθεν,0.2371,0.0212
Mark,Mark 6:10,202,Luke,Luke 12:59,625,10,7,0.0592,0.1333,0.1333,0.0,0.0,0.1183,0,0.0,0,,2,εκειθεν εωσ,main_text,0.2308,0.1429,0.0,3,0.4286,2,εξερχομαι εκειθεν,3,εκειθεν εξερχομαι λεγω,0.2371,0.1779
Mark,Mark 2:13,58,Luke,Luke 6:19,272,8,9,0.1482,0.1333,0.1333,0.1333,0.0,0.1146,2,0.25,2,πασ οχλοσ,2,οχλοσ πασ,main_text,0.2727,0.1538,0.0,2,0.2857,2,πασ οχλοσ,3,εξερχομαι οχλοσ πασ,0.2368,0.0886
