rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
84	Mark 6:25	Matt 14:8	0.417544	2	equal	μοι	μοι
84	Mark 6:25	Matt 14:8	0.417544	3	insert		φησιν ωδε
84	Mark 6:25	Matt 14:8	0.417544	4	equal	επι πινακι την κεφαλην ιωαννου του βαπτιστου	επι πινακι την κεφαλην ιωαννου του βαπτιστου
85	Mark 6:26	Matt 14:9	0.458153	1	equal	και	και
85	Mark 6:26	Matt 14:9	0.458153	2	replace	περιλυποσ γενομενοσ	λυπηθεισ
85	Mark 6:26	Matt 14:9	0.458153	3	equal	ο βασιλευσ δια τουσ ορκουσ και τουσ	ο βασιλευσ δια τουσ ορκουσ και τουσ
85	Mark 6:26	Matt 14:9	0.458153	4	replace	ανακειμενουσ ουκ ηθελησεν αθετησαι αυτην	συνανακειμενουσ εκελευσεν δοθηναι
86	Mark 6:27	Matt 14:10	0.389073	1	equal	και	και
86	Mark 6:27	Matt 14:10	0.389073	2	replace	ευθυσ αποστειλασ ο βασιλευσ σπεκουλατορα επεταξεν ενεγκαι την κεφαλην αυτου και απελθων	πεμψασ
86	Mark 6:27	Matt 14:10	0.389073	3	equal	απεκεφαλισεν	απεκεφαλισεν
86	Mark 6:27	Matt 14:10	0.389073	4	replace	αυτον	τον ιωαννην
86	Mark 6:27	Matt 14:10	0.389073	5	equal	εν τη φυλακη	εν τη φυλακη
87	Mark 6:28	Matt 14:11	0.609135	1	equal	και	και
87	Mark 6:28	Matt 14:11	0.609135	2	replace	ηνεγκεν την κεφαλην	ηνεχθη η κεφαλη
87	Mark 6:28	Matt 14:11	0.609135	3	equal	αυτου επι πινακι και	αυτου επι πινακι και
87	Mark 6:28	Matt 14:11	0.609135	4	replace	εδωκεν αυτην	εδοθη
87	Mark 6:28	Matt 14:11	0.609135	5	equal	τω κορασιω και	τω κορασιω και
87	Mark 6:28	Matt 14:11	0.609135	6	replace	το κορασιον εδωκεν αυτην	ηνεγκεν
87	Mark 6:28	Matt 14:11	0.609135	7	equal	τη μητρι αυτησ	τη μητρι αυτησ
88	Mark 6:29	Matt 14:12	0.49442	1	equal	και	και
88	Mark 6:29	Matt 14:12	0.49442	2	replace	ακουσαντεσ	προσελθοντεσ
88	Mark 6:29	Matt 14:12	0.49442	3	equal	οι μαθηται αυτου	οι μαθηται αυτου
88	Mark 6:29	Matt 14:12	0.49442	4	delete	ηλθον και	
88	Mark 6:29	Matt 14:12	0.49442	5	equal	ηραν το πτωμα	ηραν το πτωμα
88	Mark 6:29	Matt 14:12	0.49442	6	delete	αυτου	
88	Mark 6:29	Matt 14:12	0.49442	7	equal	και	και
88	Mark 6:29	Matt 14:12	0.49442	8	replace	εθηκαν αυτο εν μνημειω	εθαψαν αυτον και ελθοντεσ απηγγειλαν τω ιησου
89	Mark 6:32	Matt 14:13	0.43471	1	replace	και απηλθον	ακουσασ δε ο ιησουσ ανεχωρησεν εκειθεν
89	Mark 6:32	Matt 14:13	0.43471	2	equal	εν	εν
89	Mark 6:32	Matt 14:13	0.43471	3	delete	τω	
89	Mark 6:32	Matt 14:13	0.43471	4	equal	πλοιω εισ ερημον τοπον κατ ιδιαν	πλοιω εισ ερημον τοπον κατ ιδιαν
89	Mark 6:32	Matt 14:13	0.43471	5	insert		και ακουσαντεσ οι οχλοι ηκολουθησαν αυτω πεζη απο των πολεων
90	Mark 6:34	Matt 14:14	0.48965	1	equal	και εξελθων ειδεν πολυν οχλον και εσπλαγχνισθη επ	και εξελθων ειδεν πολυν οχλον και εσπλαγχνισθη επ
90	Mark 6:34	Matt 14:14	0.48965	2	replace	αυτουσ οτι ησαν ωσ προβατα μη εχοντα ποιμενα	αυτοισ
90	Mark 6:34	Matt 14:14	0.48965	3	equal	και	και
90	Mark 6:34	Matt 14:14	0.48965	4	replace	ηρξατο διδασκειν αυτουσ πολλα	εθεραπευσεν τουσ αρρωστουσ αυτων
91	Mark 6:35	Matt 14:15	0.431582	1	replace	και ηδη ωρασ πολλησ	οψιασ δε
91	Mark 6:35	Matt 14:15	0.431582	2	equal	γενομενησ	γενομενησ
91	Mark 6:35	Matt 14:15	0.431582	3	replace	προσελθοντεσ	προσηλθον
91	Mark 6:35	Matt 14:15	0.431582	4	equal	αυτω οι μαθηται	αυτω οι μαθηται
91	Mark 6:35	Matt 14:15	0.431582	5	replace	αυτου ελεγον οτι	λεγοντεσ
91	Mark 6:35	Matt 14:15	0.431582	6	equal	ερημοσ εστιν ο τοποσ και	ερημοσ εστιν ο τοποσ και
91	Mark 6:35	Matt 14:15	0.431582	7	insert		η ωρα
91	Mark 6:35	Matt 14:15	0.431582	8	equal	ηδη	ηδη
91	Mark 6:35	Matt 14:15	0.431582	9	replace	ωρα πολλη	παρηλθεν απολυσον τουσ οχλουσ ινα απελθοντεσ εισ τασ κωμασ αγορασωσιν εαυτοισ βρωματα
92	Mark 6:37	Matt 14:16	0.403714	1	equal	ο δε	ο δε
92	Mark 6:37	Matt 14:16	0.403714	2	replace	αποκριθεισ	ιησουσ
92	Mark 6:37	Matt 14:16	0.403714	3	equal	ειπεν αυτοισ	ειπεν αυτοισ
92	Mark 6:37	Matt 14:16	0.403714	4	insert		ου χρειαν εχουσιν απελθειν
92	Mark 6:37	Matt 14:16	0.403714	5	equal	δοτε αυτοισ υμεισ φαγειν	δοτε αυτοισ υμεισ φαγειν
92	Mark 6:37	Matt 14:16	0.403714	6	delete	και λεγουσιν αυτω απελθοντεσ αγορασωμεν δηναριων διακοσιων αρτουσ και δωσομεν αυτοισ φαγειν	
93	Mark 6:38	Matt 14:17	0.443758	1	replace	ο	οι
93	Mark 6:38	Matt 14:17	0.443758	2	equal	δε	δε
93	Mark 6:38	Matt 14:17	0.443758	3	replace	λεγει αυτοισ ποσουσ εχετε	λεγουσιν αυτω ουκ εχομεν ωδε ει μη πεντε
93	Mark 6:38	Matt 14:17	0.443758	4	equal	αρτουσ	αρτουσ
93	Mark 6:38	Matt 14:17	0.443758	5	delete	υπαγετε ιδετε και γνοντεσ λεγουσιν πεντε	
93	Mark 6:38	Matt 14:17	0.443758	6	equal	και δυο ιχθυασ	και δυο ιχθυασ
94	Mark 6:41	Matt 14:19	0.545092	1	equal	και	και
94	Mark 6:41	Matt 14:19	0.545092	2	insert		κελευσασ τουσ οχλουσ ανακλιθηναι επι του χορτου
94	Mark 6:41	Matt 14:19	0.545092	3	equal	λαβων τουσ πεντε αρτουσ και τουσ δυο ιχθυασ αναβλεψασ εισ τον ουρανον ευλογησεν και	λαβων τουσ πεντε αρτουσ και τουσ δυο ιχθυασ αναβλεψασ εισ τον ουρανον ευλογησεν και
94	Mark 6:41	Matt 14:19	0.545092	4	replace	κατεκλασεν	κλασασ εδωκεν τοισ μαθηταισ
94	Mark 6:41	Matt 14:19	0.545092	5	equal	τουσ αρτουσ	τουσ αρτουσ
94	Mark 6:41	Matt 14:19	0.545092	6	replace	και εδιδου	οι δε μαθηται
94	Mark 6:41	Matt 14:19	0.545092	7	equal	τοισ	τοισ
94	Mark 6:41	Matt 14:19	0.545092	8	replace	μαθηταισ αυτου ινα παρατιθωσιν αυτοισ και τουσ δυο ιχθυασ εμερισεν πασιν	οχλοισ
95	Mark 6:42	Matt 14:20	0.526663	1	equal	και εφαγον παντεσ και εχορτασθησαν	και εφαγον παντεσ και εχορτασθησαν
95	Mark 6:42	Matt 14:20	0.526663	2	insert		και ηραν το περισσευον των κλασματων δωδεκα κοφινουσ πληρεισ
96	Mark 6:44	Matt 14:21	0.438372	1	insert		οι δε εσθιοντεσ ησαν ανδρεσ ωσει πεντακισχιλιοι χωρισ γυναικων
96	Mark 6:44	Matt 14:21	0.438372	2	equal	και	και
96	Mark 6:44	Matt 14:21	0.438372	3	replace	ησαν οι φαγοντεσ τουσ αρτουσ πεντακισχιλιοι ανδρεσ	παιδιων
97	Mark 6:45	Matt 14:22	0.563133	1	equal	και	και
97	Mark 6:45	Matt 14:22	0.563133	2	replace	ευθυσ	ευθεωσ
97	Mark 6:45	Matt 14:22	0.563133	3	equal	ηναγκασεν τουσ μαθητασ	ηναγκασεν τουσ μαθητασ
97	Mark 6:45	Matt 14:22	0.563133	4	delete	αυτου	
97	Mark 6:45	Matt 14:22	0.563133	5	equal	εμβηναι εισ	εμβηναι εισ
97	Mark 6:45	Matt 14:22	0.563133	6	delete	το	
97	Mark 6:45	Matt 14:22	0.563133	7	equal	πλοιον και προαγειν	πλοιον και προαγειν
97	Mark 6:45	Matt 14:22	0.563133	8	insert		αυτον
97	Mark 6:45	Matt 14:22	0.563133	9	equal	εισ το περαν	εισ το περαν
97	Mark 6:45	Matt 14:22	0.563133	10	delete	προσ βηθσαιδαν	
97	Mark 6:45	Matt 14:22	0.563133	11	equal	εωσ	εωσ
97	Mark 6:45	Matt 14:22	0.563133	12	replace	αυτοσ απολυει τον οχλον	ου απολυση τουσ οχλουσ
98	Mark 6:46	Matt 14:23	0.365908	1	equal	και	και
98	Mark 6:46	Matt 14:23	0.365908	2	replace	αποταξαμενοσ αυτοισ απηλθεν	απολυσασ τουσ οχλουσ ανεβη
98	Mark 6:46	Matt 14:23	0.365908	3	equal	εισ το οροσ	εισ το οροσ
98	Mark 6:46	Matt 14:23	0.365908	4	insert		κατ ιδιαν
98	Mark 6:46	Matt 14:23	0.365908	5	equal	προσευξασθαι	προσευξασθαι
98	Mark 6:46	Matt 14:23	0.365908	6	insert		οψιασ δε γενομενησ μονοσ ην εκει
99	Mark 6:48	Matt 14:25	0.45538	1	replace	και ιδων αυτουσ βασανιζομενουσ εν τω ελαυνειν ην γαρ ο ανεμοσ εναντιοσ αυτοισ περι τεταρτην φυλακην	τεταρτη δε φυλακη
99	Mark 6:48	Matt 14:25	0.45538	2	equal	τησ νυκτοσ	τησ νυκτοσ
99	Mark 6:48	Matt 14:25	0.45538	3	replace	ερχεται	ηλθεν
99	Mark 6:48	Matt 14:25	0.45538	4	equal	προσ αυτουσ περιπατων επι	προσ αυτουσ περιπατων επι
99	Mark 6:48	Matt 14:25	0.45538	5	replace	τησ θαλασσησ και ηθελεν παρελθειν αυτουσ	την θαλασσαν
100	Mark 6:49	Matt 14:26	0.597038	1	equal	οι δε	οι δε
100	Mark 6:49	Matt 14:26	0.597038	2	insert		μαθηται
100	Mark 6:49	Matt 14:26	0.597038	3	equal	ιδοντεσ αυτον επι τησ θαλασσησ περιπατουντα	ιδοντεσ αυτον επι τησ θαλασσησ περιπατουντα
100	Mark 6:49	Matt 14:26	0.597038	4	replace	εδοξαν	εταραχθησαν λεγοντεσ
100	Mark 6:49	Matt 14:26	0.597038	5	equal	οτι φαντασμα εστιν και	οτι φαντασμα εστιν και
100	Mark 6:49	Matt 14:26	0.597038	6	replace	ανεκραξαν	απο του φοβου εκραξαν
101	Mark 6:50	Matt 14:27	0.570603	1	replace	παντεσ γαρ αυτον ειδον και εταραχθησαν	ευθυσ δε ελαλησεν αυτοισ
101	Mark 6:50	Matt 14:27	0.570603	2	equal	ο	ο
101	Mark 6:50	Matt 14:27	0.570603	3	replace	δε ευθυσ ελαλησεν μετ αυτων και λεγει αυτοισ	ιησουσ λεγων
101	Mark 6:50	Matt 14:27	0.570603	4	equal	θαρσειτε εγω ειμι μη φοβεισθε	θαρσειτε εγω ειμι μη φοβεισθε
102	Mark 6:51	Matt 14:32	0.431363	1	equal	και	και
102	Mark 6:51	Matt 14:32	0.431363	2	replace	ανεβη προσ αυτουσ	αναβαντων αυτων
102	Mark 6:51	Matt 14:32	0.431363	3	equal	εισ το πλοιον	εισ το πλοιον
102	Mark 6:51	Matt 14:32	0.431363	4	delete	και	
102	Mark 6:51	Matt 14:32	0.431363	5	equal	εκοπασεν ο ανεμοσ	εκοπασεν ο ανεμοσ
102	Mark 6:51	Matt 14:32	0.431363	6	delete	και λιαν εκ περισσου εν εαυτοισ εξισταντο	
103	Mark 6:53	Matt 14:34	0.618346	1	equal	και διαπερασαντεσ	και διαπερασαντεσ
103	Mark 6:53	Matt 14:34	0.618346	2	insert		ηλθον
103	Mark 6:53	Matt 14:34	0.618346	3	equal	επι την γην	επι την γην
103	Mark 6:53	Matt 14:34	0.618346	4	delete	ηλθον	
103	Mark 6:53	Matt 14:34	0.618346	5	equal	εισ γεννησαρετ	εισ γεννησαρετ
103	Mark 6:53	Matt 14:34	0.618346	6	delete	και προσωρμισθησαν	
104	Mark 6:55	Matt 14:35	0.306951	1	replace	περιεδραμον	και επιγνοντεσ αυτον οι ανδρεσ του τοπου εκεινου απεστειλαν εισ
104	Mark 6:55	Matt 14:35	0.306951	2	equal	ολην την	ολην την
104	Mark 6:55	Matt 14:35	0.306951	3	replace	χωραν	περιχωρον
104	Mark 6:55	Matt 14:35	0.306951	4	equal	εκεινην και	εκεινην και
104	Mark 6:55	Matt 14:35	0.306951	5	replace	ηρξαντο επι τοισ κραβαττοισ	προσηνεγκαν αυτω παντασ
104	Mark 6:55	Matt 14:35	0.306951	6	equal	τουσ κακωσ εχοντασ	τουσ κακωσ εχοντασ
104	Mark 6:55	Matt 14:35	0.306951	7	delete	περιφερειν οπου ηκουον οτι εστιν	
105	Mark 6:56	Matt 14:36	0.422896	1	delete	και οπου αν εισεπορευετο εισ κωμασ η εισ πολεισ η εισ αγρουσ εν ταισ αγοραισ ετιθεσαν τουσ ασθενουντασ	
105	Mark 6:56	Matt 14:36	0.422896	2	equal	και παρεκαλουν αυτον ινα	και παρεκαλουν αυτον ινα
105	Mark 6:56	Matt 14:36	0.422896	3	replace	καν	μονον αψωνται
105	Mark 6:56	Matt 14:36	0.422896	4	equal	του κρασπεδου του ιματιου αυτου	του κρασπεδου του ιματιου αυτου
105	Mark 6:56	Matt 14:36	0.422896	5	delete	αψωνται	
105	Mark 6:56	Matt 14:36	0.422896	6	equal	και οσοι	και οσοι
105	Mark 6:56	Matt 14:36	0.422896	7	delete	αν	
105	Mark 6:56	Matt 14:36	0.422896	8	equal	ηψαντο	ηψαντο
105	Mark 6:56	Matt 14:36	0.422896	9	replace	αυτου εσωζοντο	διεσωθησαν
106	Mark 7:1	Matt 15:1	0.397298	1	replace	και συναγονται προσ αυτον οι	τοτε προσερχονται τω ιησου απο ιεροσολυμων
106	Mark 7:1	Matt 15:1	0.397298	2	equal	φαρισαιοι και	φαρισαιοι και
106	Mark 7:1	Matt 15:1	0.397298	3	replace	τινεσ των γραμματεων ελθοντεσ απο ιεροσολυμων	γραμματεισ λεγοντεσ
107	Mark 7:5	Matt 15:2	0.415358	1	delete	και επερωτωσιν αυτον οι φαρισαιοι και οι γραμματεισ	
107	Mark 7:5	Matt 15:2	0.415358	2	equal	δια τι	δια τι
107	Mark 7:5	Matt 15:2	0.415358	3	delete	ου περιπατουσιν	
107	Mark 7:5	Matt 15:2	0.415358	4	equal	οι μαθηται σου	οι μαθηται σου
107	Mark 7:5	Matt 15:2	0.415358	5	replace	κατα	παραβαινουσιν
107	Mark 7:5	Matt 15:2	0.415358	6	equal	την παραδοσιν των πρεσβυτερων	την παραδοσιν των πρεσβυτερων
107	Mark 7:5	Matt 15:2	0.415358	7	replace	αλλα κοιναισ χερσιν εσθιουσιν τον	ου γαρ νιπτονται τασ χειρασ αυτων οταν
107	Mark 7:5	Matt 15:2	0.415358	8	equal	αρτον	αρτον
107	Mark 7:5	Matt 15:2	0.415358	9	insert		εσθιωσιν
108	Mark 7:9	Matt 15:3	0.517887	1	insert		ο δε αποκριθεισ ειπεν αυτοισ δια τι
108	Mark 7:9	Matt 15:3	0.517887	2	equal	και	και
108	Mark 7:9	Matt 15:3	0.517887	3	replace	ελεγεν αυτοισ καλωσ αθετειτε	υμεισ παραβαινετε
108	Mark 7:9	Matt 15:3	0.517887	4	equal	την εντολην του θεου	την εντολην του θεου
108	Mark 7:9	Matt 15:3	0.517887	5	replace	ινα	δια
108	Mark 7:9	Matt 15:3	0.517887	6	equal	την παραδοσιν υμων	την παραδοσιν υμων
108	Mark 7:9	Matt 15:3	0.517887	7	delete	τηρησητε	
109	Mark 7:10	Matt 15:4	0.77559	1	replace	μωυσησ	ο
109	Mark 7:10	Matt 15:4	0.77559	2	equal	γαρ	γαρ
109	Mark 7:10	Matt 15:4	0.77559	3	insert		θεοσ
109	Mark 7:10	Matt 15:4	0.77559	4	equal	ειπεν τιμα τον πατερα	ειπεν τιμα τον πατερα
109	Mark 7:10	Matt 15:4	0.77559	5	delete	σου	
109	Mark 7:10	Matt 15:4	0.77559	6	equal	και την μητερα	και την μητερα
109	Mark 7:10	Matt 15:4	0.77559	7	delete	σου	
109	Mark 7:10	Matt 15:4	0.77559	8	equal	και ο κακολογων πατερα η μητερα θανατω τελευτατω	και ο κακολογων πατερα η μητερα θανατω τελευτατω
110	Mark 7:11	Matt 15:5	0.740814	1	equal	υμεισ δε λεγετε	υμεισ δε λεγετε
110	Mark 7:11	Matt 15:5	0.740814	2	replace	εαν	οσ αν
110	Mark 7:11	Matt 15:5	0.740814	3	equal	ειπη	ειπη
110	Mark 7:11	Matt 15:5	0.740814	4	delete	ανθρωποσ	
110	Mark 7:11	Matt 15:5	0.740814	5	equal	τω πατρι η τη μητρι	τω πατρι η τη μητρι
110	Mark 7:11	Matt 15:5	0.740814	6	delete	κορβαν ο εστιν	
110	Mark 7:11	Matt 15:5	0.740814	7	equal	δωρον ο εαν εξ εμου ωφεληθησ	δωρον ο εαν εξ εμου ωφεληθησ
111	Mark 7:13	Matt 15:6	0.390355	1	replace	ακυρουντεσ	ου μη τιμησει τον πατερα αυτου και ηκυρωσατε
111	Mark 7:13	Matt 15:6	0.390355	2	equal	τον λογον του θεου	τον λογον του θεου
111	Mark 7:13	Matt 15:6	0.390355	3	replace	τη παραδοσει	δια την παραδοσιν
111	Mark 7:13	Matt 15:6	0.390355	4	equal	υμων	υμων
111	Mark 7:13	Matt 15:6	0.390355	5	delete	η παρεδωκατε και παρομοια τοιαυτα πολλα ποιειτε	
112	Mark 7:14	Matt 15:10	0.535501	1	equal	και προσκαλεσαμενοσ	και προσκαλεσαμενοσ
112	Mark 7:14	Matt 15:10	0.535501	2	delete	παλιν	
112	Mark 7:14	Matt 15:10	0.535501	3	equal	τον οχλον	τον οχλον
112	Mark 7:14	Matt 15:10	0.535501	4	replace	ελεγεν	ειπεν
112	Mark 7:14	Matt 15:10	0.535501	5	equal	αυτοισ	αυτοισ
112	Mark 7:14	Matt 15:10	0.535501	6	replace	ακουσατε μου παντεσ	ακουετε
112	Mark 7:14	Matt 15:10	0.535501	7	equal	και	και
112	Mark 7:14	Matt 15:10	0.535501	8	replace	συνετε	συνιετε
113	Mark 7:15	Matt 15:11	0.405394	1	replace	ουδεν εστιν εξωθεν του ανθρωπου εισπορευομενον	ου το εισερχομενον
113	Mark 7:15	Matt 15:11	0.405394	2	equal	εισ	εισ
113	Mark 7:15	Matt 15:11	0.405394	3	replace	αυτον ο δυναται κοινωσαι αυτον	το στομα κοινοι τον ανθρωπον
113	Mark 7:15	Matt 15:11	0.405394	4	equal	αλλα	αλλα
113	Mark 7:15	Matt 15:11	0.405394	5	replace	τα	το εκπορευομενον
113	Mark 7:15	Matt 15:11	0.405394	6	equal	εκ του	εκ του
113	Mark 7:15	Matt 15:11	0.405394	7	replace	ανθρωπου εκπορευομενα εστιν τα κοινουντα	στοματοσ τουτο κοινοι
113	Mark 7:15	Matt 15:11	0.405394	8	equal	τον ανθρωπον	τον ανθρωπον
114	Mark 7:18	Matt 15:16	0.324143	1	replace	και λεγει αυτοισ ουτωσ	ο δε ειπεν ακμην
114	Mark 7:18	Matt 15:16	0.324143	2	equal	και υμεισ ασυνετοι εστε	και υμεισ ασυνετοι εστε
114	Mark 7:18	Matt 15:16	0.324143	3	delete	ου νοειτε οτι παν το εξωθεν εισπορευομενον εισ τον ανθρωπον ου δυναται αυτον κοινωσαι	
115	Mark 7:19	Matt 15:17	0.424443	1	insert		ου νοειτε
115	Mark 7:19	Matt 15:17	0.424443	2	equal	οτι	οτι
115	Mark 7:19	Matt 15:17	0.424443	3	replace	ουκ εισπορευεται αυτου	παν το εισπορευομενον
115	Mark 7:19	Matt 15:17	0.424443	4	equal	εισ	εισ
115	Mark 7:19	Matt 15:17	0.424443	5	replace	την καρδιαν αλλ	το στομα
115	Mark 7:19	Matt 15:17	0.424443	6	equal	εισ την κοιλιαν	εισ την κοιλιαν
115	Mark 7:19	Matt 15:17	0.424443	7	insert		χωρει
115	Mark 7:19	Matt 15:17	0.424443	8	equal	και εισ	και εισ
115	Mark 7:19	Matt 15:17	0.424443	9	delete	τον	
115	Mark 7:19	Matt 15:17	0.424443	10	equal	αφεδρωνα	αφεδρωνα
115	Mark 7:19	Matt 15:17	0.424443	11	replace	εκπορευεται καθαριζων παντα τα βρωματα	εκβαλλεται
116	Mark 7:20	Matt 15:18	0.429742	1	replace	ελεγεν	τα
116	Mark 7:20	Matt 15:18	0.429742	2	equal	δε	δε
116	Mark 7:20	Matt 15:18	0.429742	3	replace	οτι το	εκπορευομενα
116	Mark 7:20	Matt 15:18	0.429742	4	equal	εκ του	εκ του
116	Mark 7:20	Matt 15:18	0.429742	5	replace	ανθρωπου εκπορευομενον εκεινο	στοματοσ εκ τησ καρδιασ εξερχεται κακεινα
116	Mark 7:20	Matt 15:18	0.429742	6	equal	κοινοι τον ανθρωπον	κοινοι τον ανθρωπον
117	Mark 7:21	Matt 15:19	0.437433	1	replace	εσωθεν	εκ
117	Mark 7:21	Matt 15:19	0.437433	2	equal	γαρ	γαρ
117	Mark 7:21	Matt 15:19	0.437433	3	delete	εκ	
117	Mark 7:21	Matt 15:19	0.437433	4	equal	τησ καρδιασ	τησ καρδιασ
117	Mark 7:21	Matt 15:19	0.437433	5	replace	των ανθρωπων οι	εξερχονται
117	Mark 7:21	Matt 15:19	0.437433	6	equal	διαλογισμοι	διαλογισμοι
117	Mark 7:21	Matt 15:19	0.437433	7	replace	οι κακοι εκπορευονται	πονηροι φονοι μοιχειαι
117	Mark 7:21	Matt 15:19	0.437433	8	equal	πορνειαι κλοπαι	πορνειαι κλοπαι
117	Mark 7:21	Matt 15:19	0.437433	9	replace	φονοι	ψευδομαρτυριαι βλασφημιαι
118	Mark 7:23	Matt 15:20	0.298758	1	delete	παντα	
118	Mark 7:23	Matt 15:20	0.298758	2	equal	ταυτα	ταυτα
118	Mark 7:23	Matt 15:20	0.298758	3	insert		εστιν
118	Mark 7:23	Matt 15:20	0.298758	4	equal	τα	τα
118	Mark 7:23	Matt 15:20	0.298758	5	replace	πονηρα εσωθεν εκπορευεται και	κοινουντα τον ανθρωπον το δε ανιπτοισ χερσιν φαγειν ου
118	Mark 7:23	Matt 15:20	0.298758	6	equal	κοινοι τον ανθρωπον	κοινοι τον ανθρωπον
119	Mark 7:24	Matt 15:21	0.266724	1	insert		και εξελθων
119	Mark 7:24	Matt 15:21	0.266724	2	equal	εκειθεν	εκειθεν
119	Mark 7:24	Matt 15:21	0.266724	3	replace	δε αναστασ απηλθεν	ο ιησουσ ανεχωρησεν
119	Mark 7:24	Matt 15:21	0.266724	4	equal	εισ τα	εισ τα
119	Mark 7:24	Matt 15:21	0.266724	5	replace	ορια	μερη
119	Mark 7:24	Matt 15:21	0.266724	6	equal	τυρου και	τυρου και
119	Mark 7:24	Matt 15:21	0.266724	7	replace	εισελθων εισ οικιαν ουδενα ηθελεν γνωναι και ουκ ηδυνηθη λαθειν	σιδωνοσ
120	Mark 7:27	Matt 15:26	0.570525	1	replace	και ελεγεν αυτη αφεσ πρωτον χορτασθηναι τα τεκνα ου γαρ	ο δε αποκριθεισ ειπεν ουκ εστιν
120	Mark 7:27	Matt 15:26	0.570525	2	equal	καλον	καλον
120	Mark 7:27	Matt 15:26	0.570525	3	delete	εστιν	
120	Mark 7:27	Matt 15:26	0.570525	4	equal	λαβειν τον αρτον των τεκνων και	λαβειν τον αρτον των τεκνων και
120	Mark 7:27	Matt 15:26	0.570525	5	insert		βαλειν
120	Mark 7:27	Matt 15:26	0.570525	6	equal	τοισ κυναριοισ	τοισ κυναριοισ
120	Mark 7:27	Matt 15:26	0.570525	7	delete	βαλειν	
121	Mark 7:28	Matt 15:27	0.549157	1	equal	η δε	η δε
121	Mark 7:28	Matt 15:27	0.549157	2	replace	απεκριθη και λεγει αυτω	ειπεν ναι
121	Mark 7:28	Matt 15:27	0.549157	3	equal	κυριε και	κυριε και
121	Mark 7:28	Matt 15:27	0.549157	4	insert		γαρ
121	Mark 7:28	Matt 15:27	0.549157	5	equal	τα κυναρια	τα κυναρια
121	Mark 7:28	Matt 15:27	0.549157	6	replace	υποκατω τησ τραπεζησ εσθιουσιν	εσθιει
121	Mark 7:28	Matt 15:27	0.549157	7	equal	απο των ψιχιων των	απο των ψιχιων των
121	Mark 7:28	Matt 15:27	0.549157	8	replace	παιδιων	πιπτοντων απο τησ τραπεζησ των κυριων αυτων
122	Mark 7:29	Matt 15:28	0.25592	1	replace	και	τοτε αποκριθεισ ο ιησουσ
122	Mark 7:29	Matt 15:28	0.25592	2	equal	ειπεν αυτη	ειπεν αυτη
122	Mark 7:29	Matt 15:28	0.25592	3	replace	δια τουτον τον λογον υπαγε εξεληλυθεν εκ	ω γυναι μεγαλη σου η πιστισ γενηθητω σοι ωσ θελεισ και ιαθη η θυγατηρ αυτησ απο
122	Mark 7:29	Matt 15:28	0.25592	4	equal	τησ	τησ
122	Mark 7:29	Matt 15:28	0.25592	5	replace	θυγατροσ σου το δαιμονιον	ωρασ εκεινησ
123	Mark 8:2	Matt 15:32	0.59189	1	insert		ο δε ιησουσ προσκαλεσαμενοσ τουσ μαθητασ αυτου ειπεν
123	Mark 8:2	Matt 15:32	0.59189	2	equal	σπλαγχνιζομαι επι τον οχλον οτι ηδη ημεραι τρεισ προσμενουσιν μοι και ουκ εχουσιν τι φαγωσιν	σπλαγχνιζομαι επι τον οχλον οτι ηδη ημεραι τρεισ προσμενουσιν μοι και ουκ εχουσιν τι φαγωσιν
123	Mark 8:2	Matt 15:32	0.59189	3	insert		και απολυσαι αυτουσ νηστεισ ου θελω μηποτε εκλυθωσιν εν τη οδω
124	Mark 8:4	Matt 15:33	0.412787	1	equal	και	και
124	Mark 8:4	Matt 15:33	0.412787	2	replace	απεκριθησαν	λεγουσιν
124	Mark 8:4	Matt 15:33	0.412787	3	equal	αυτω οι μαθηται	αυτω οι μαθηται
124	Mark 8:4	Matt 15:33	0.412787	4	delete	αυτου οτι	
124	Mark 8:4	Matt 15:33	0.412787	5	equal	ποθεν	ποθεν
124	Mark 8:4	Matt 15:33	0.412787	6	replace	τουτουσ δυνησεται τισ ωδε	ημιν εν ερημια αρτοι τοσουτοι ωστε
124	Mark 8:4	Matt 15:33	0.412787	7	equal	χορτασαι	χορτασαι
124	Mark 8:4	Matt 15:33	0.412787	8	replace	αρτων επ ερημιασ	οχλον τοσουτον
125	Mark 8:5	Matt 15:34	0.509976	1	equal	και	και
125	Mark 8:5	Matt 15:34	0.509976	2	replace	ηρωτα αυτουσ	λεγει αυτοισ ο ιησουσ
125	Mark 8:5	Matt 15:34	0.509976	3	equal	ποσουσ	ποσουσ
125	Mark 8:5	Matt 15:34	0.509976	4	insert		αρτουσ
125	Mark 8:5	Matt 15:34	0.509976	5	equal	εχετε	εχετε
125	Mark 8:5	Matt 15:34	0.509976	6	delete	αρτουσ	
125	Mark 8:5	Matt 15:34	0.509976	7	equal	οι δε ειπαν επτα	οι δε ειπαν επτα
125	Mark 8:5	Matt 15:34	0.509976	8	insert		και ολιγα ιχθυδια
126	Mark 8:6	Matt 15:36	0.47424	1	replace	και παραγγελλει τω οχλω αναπεσειν επι τησ γησ και λαβων	ελαβεν
126	Mark 8:6	Matt 15:36	0.47424	2	equal	τουσ επτα αρτουσ	τουσ επτα αρτουσ
126	Mark 8:6	Matt 15:36	0.47424	3	insert		και τουσ ιχθυασ και
