rank_in_chain	mark_ref	matt_ref	score	op_index	op	mark_segment	matt_segment
8	Mark 1:14	Matt 4:12	0.307655	3	delete	κηρυσσων το ευαγγελιον του θεου	
9	Mark 1:15	Matt 4:17	0.350578	1	insert		απο τοτε ηρξατο ο ιησουσ κηρυσσειν
9	Mark 1:15	Matt 4:17	0.350578	2	equal	και	και
9	Mark 1:15	Matt 4:17	0.350578	3	replace	λεγων οτι πεπληρωται ο καιροσ και	λεγειν μετανοειτε
9	Mark 1:15	Matt 4:17	0.350578	4	equal	ηγγικεν	ηγγικεν
9	Mark 1:15	Matt 4:17	0.350578	5	insert		γαρ
9	Mark 1:15	Matt 4:17	0.350578	6	equal	η βασιλεια	η βασιλεια
9	Mark 1:15	Matt 4:17	0.350578	7	replace	του θεου μετανοειτε και πιστευετε εν τω ευαγγελιω	των ουρανων
10	Mark 1:16	Matt 4:18	0.58419	1	replace	και παραγων	περιπατων δε
10	Mark 1:16	Matt 4:18	0.58419	2	equal	παρα την θαλασσαν τησ γαλιλαιασ ειδεν	παρα την θαλασσαν τησ γαλιλαιασ ειδεν
10	Mark 1:16	Matt 4:18	0.58419	3	insert		δυο αδελφουσ
10	Mark 1:16	Matt 4:18	0.58419	4	equal	σιμωνα	σιμωνα
10	Mark 1:16	Matt 4:18	0.58419	5	insert		τον λεγομενον πετρον
10	Mark 1:16	Matt 4:18	0.58419	6	equal	και ανδρεαν τον αδελφον	και ανδρεαν τον αδελφον
10	Mark 1:16	Matt 4:18	0.58419	7	replace	σιμωνοσ αμφιβαλλοντασ εν τη θαλασση	αυτου βαλλοντασ αμφιβληστρον εισ την θαλασσαν
10	Mark 1:16	Matt 4:18	0.58419	8	equal	ησαν γαρ αλιεισ	ησαν γαρ αλιεισ
11	Mark 1:17	Matt 4:19	0.743548	1	equal	και	και
11	Mark 1:17	Matt 4:19	0.743548	2	replace	ειπεν	λεγει
11	Mark 1:17	Matt 4:19	0.743548	3	equal	αυτοισ	αυτοισ
11	Mark 1:17	Matt 4:19	0.743548	4	delete	ο ιησουσ	
11	Mark 1:17	Matt 4:19	0.743548	5	equal	δευτε οπισω μου και ποιησω υμασ	δευτε οπισω μου και ποιησω υμασ
11	Mark 1:17	Matt 4:19	0.743548	6	delete	γενεσθαι	
11	Mark 1:17	Matt 4:19	0.743548	7	equal	αλιεισ ανθρωπων	αλιεισ ανθρωπων
