mark_start_ref,mark_end_ref,matt_start_ref,matt_end_ref,rank,window_score,mark_refs,matt_refs
Mark 1:7,Mark 1:9,Matt 3:10,Matt 3:12,3,0.184885,Mark 1:7 | Mark 1:8 | Mark 1:9,Matt 3:10 | Matt 3:11 | Matt 3:12
Mark 1:8,Mark 1:10,Matt 3:14,Matt 3:16,1,0.240104,Mark 1:8 | Mark 1:9 | Mark 1:10,Matt 3:14 | Matt 3:15 | Matt 3:16
Mark 1:8,Mark 1:10,Matt 3:16,Matt 4:1,2,0.238868,Mark 1:8 | Mark 1:9 | Mark 1:10,Matt 3:16 | Matt 3:17 | Matt 4:1
Mark 1:8,Mark 1:10,Matt 3:15,Matt 3:17,3,0.206683,Mark 1:8 | Mark 1:9 | Mark 1:10,Matt 3:15 | Matt 3:16 | Matt 3:17
Mark 1:8,Mark 1:10,Matt 3:11,Matt 3:13,4,0.193905,Mark 1:8 | Mark 1:9 | Mark 1:10,Matt 3:11 | Matt 3:12 | Matt 3:13
Mark 1:9,Mark 1:11,Matt 3:16,Matt 4:1,1,0.351351,Mark 1:9 | Mark 1:10 | Mark 1:11,Matt 3:16 | Matt 3:17 | Matt 4:1
Mark 1:9,Mark 1:11,Matt 3:15,Matt 3:17,2,0.325507,Mark 1:9 | Mark 1:10 | Mark 1:11,Matt 3:15 | Matt 3:16 | Matt 3:17
Mark 1:9,Mark 1:11,Matt 3:14,Matt 3:16,3,0.229234,Mark 1:9 | Mark 1:10 | Mark 1:11,Matt 3:14 | Matt 3:15 | Matt 3:16
Mark 1:9,Mark 1:11,Matt 3:17,Matt 4:2,4,0.178551,Mark 1:9 | Mark 1:10 | Mark 1:11,Matt 3:17 | Matt 4:1 | Matt 4:2
Mark 1:10,Mark 1:12,Matt 3:16,Matt 4:1,1,0.382118,Mark 1:10 | Mark 1:11 | Mark 1:12,Matt 3:16 | Matt 3:17 | Matt 4:1
Mark 1:10,Mark 1:12,Matt 3:15,Matt 3:17,2,0.306726,Mark 1:10 | Mark 1:11 | Mark 1:12,Matt 3:15 | Matt 3:16 | Matt 3:17
Mark 1:10,Mark 1:12,Matt 3:17,Matt 4:2,3,0.213878,Mark 1:10 | Mark 1:11 | Mark 1:12,Matt 3:17 | Matt 4:1 | Matt 4:2
Mark 1:10,Mark 1:12,Matt 3:14,Matt 3:16,4,0.178044,Mark 1:10 | Mark 1:11 | Mark 1:12,Matt 3:14 | Matt 3:15 | Matt 3:16
Mark 1:11,Mark 1:13,Matt 3:17,Matt 4:2,1,0.297545,Mark 1:11 | Mark 1:12 | Mark 1:13,Matt 3:17 | Matt 4:1 | Matt 4:2
Mark 1:11,Mark 1:13,Matt 3:16,Matt 4:1,2,0.239495,Mark 1:11 | Mark 1:12 | Mark 1:13,Matt 3:16 | Matt 3:17 | Matt 4:1
Mark 1:11,Mark 1:13,Matt 3:15,Matt 3:17,3,0.162487,Mark 1:11 | Mark 1:12 | Mark 1:13,Matt 3:15 | Matt 3:16 | Matt 3:17
Mark 1:12,Mark 1:14,Matt 4:10,Matt 4:12,1,0.162805,Mark 1:12 | Mark 1:13 | Mark 1:14,Matt 4:10 | Matt 4:11 | Matt 4:12
Mark 1:14,Mark 1:16,Matt 4:17,Matt 4:19,1,0.335433,Mark 1:14 | Mark 1:15 | Mark 1:16,Matt 4:17 | Matt 4:18 | Matt 4:19
Mark 1:14,Mark 1:16,Matt 4:16,Matt 4:18,2,0.282874,Mark 1:14 | Mark 1:15 | Mark 1:16,Matt 4:16 | Matt 4:17 | Matt 4:18
Mark 1:14,Mark 1:16,Matt 4:18,Matt 4:20,3,0.226046,Mark 1:14 | Mark 1:15 | Mark 1:16,Matt 4:18 | Matt 4:19 | Matt 4:20
Mark 1:15,Mark 1:17,Matt 4:17,Matt 4:19,1,0.413314,Mark 1:15 | Mark 1:16 | Mark 1:17,Matt 4:17 | Matt 4:18 | Matt 4:19
Mark 1:15,Mark 1:17,Matt 4:18,Matt 4:20,2,0.338789,Mark 1:15 | Mark 1:16 | Mark 1:17,Matt 4:18 | Matt 4:19 | Matt 4:20
Mark 1:15,Mark 1:17,Matt 4:16,Matt 4:18,3,0.256554,Mark 1:15 | Mark 1:16 | Mark 1:17,Matt 4:16 | Matt 4:17 | Matt 4:18
Mark 1:16,Mark 1:18,Matt 4:18,Matt 4:20,1,0.512903,Mark 1:16 | Mark 1:17 | Mark 1:18,Matt 4:18 | Matt 4:19 | Matt 4:20
Mark 1:16,Mark 1:18,Matt 4:17,Matt 4:19,2,0.358566,Mark 1:16 | Mark 1:17 | Mark 1:18,Matt 4:17 | Matt 4:18 | Matt 4:19
